CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	119208	109811	163383	163383	146274	151874	173652	190442	190442	180737	156750	160091	151506	153130	215409	183608	190223	153163	165415	166239	149792	175200	201580	200977	158769	184354	170130	147749	149536	159488	150713	126786	122340	127780	134924	134864	136516	134889	134849	161333	158857	165267	179630	179630	171556	150437	164179	119211	119211	127977	146018	143192	133729	133729	139629	115170	125043	128020	128020	130636	130217	108648	99880	99880	105707	107875	94605	72386	72386	78088	72407	77548	66891	66371	80778	67077	67320
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	7909	3996	11068	11068	6908	6551	8832	11624	11624	29429	19071	15642	19095	19095	17628	26129	30363	10947	10947	14611	12165	56232	85940	85940	44743	54647	44832	13658	13658	34558	23441	12860	12423	9423	12388	8528	7301	7602	7602	3107	3112	8508	9898	9898	9319	18007	3079	4232	4232	6355	2868	12643	12967	12967	24927	4180	3666	2908	2908	2941	3530	3871	2974	2974	2975	3921	6331	1759	1758	1524	945	886	3222	3222	1884	796	740
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	44	44	44	44	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	60	60	60	60	60	60	60	83	83	83	80	80	9150	80	3092	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	86	1723	1149	1149	1149	1416	1741	5727	3634	3634	6091	5908	1875	460	460	491	1072	53	109	88	88	88	88
Các khoản phải thu ngắn hạn###Short term Account Receivables	59322	63782	106031	106031	73906	77158	79935	106211	106211	78282	71950	75841	64367	65313	100732	72346	69397	74823	82992	80842	84363	59033	58956	58470	63487	58810	55720	81810	77935	62673	58222	56097	64261	66572	63777	63851	62635	60328	60328	97467	87972	97426	112953	112953	100507	82948	80836	58375	58375	76120	103332	91015	72214	72214	77431	69429	61021	51574	51574	55032	60419	54587	50163	50163	61263	67937	56295	44385	44733	46557	47632	45435	38093	38093	49997	47861	45446
Hàng tồn kho###Inventory	50923	41060	45085	45085	60607	62493	73954	61841	61841	64233	55104	58850	56497	57175	87231	77806	75847	59389	57339	60892	43028	51074	55660	55660	47547	69460	64662	50726	56216	59938	65796	43709	43789	46905	56592	59774	61932	64509	64509	59373	66866	56612	55913	55913	56209	43701	74520	53670	53670	44142	37840	37945	46143	46143	33898	36339	57067	68671	68671	68926	62580	42641	41668	41668	32693	27935	28603	25434	25434	28876	21782	30658	24968	24968	28239	17604	20249
Tài sản ngắn hạn khác###Other Current Assets	1011	929	1156	1156	4812	5630	10890	10725	10725	8752	10583	9717	11506	11506	9778	7285	14575	7963	14096	9834	10177	8802	964	846	2932	1377	4833	1471	1645	2240	3174	4970	1787	1787	2081	2626	4563	2365	2324	1301	822	2636	781	781	5435	5696	5658	2848	2848	1273	1892	1504	2319	2319	3286	3499	2140	3719	3719	2321	1946	1821	1443	1443	2684	2174	1500	348	0	641	976	516	499	0	570	728	797
Tài sản dài hạn###Non-current Assets	148039	148576	151553	151557	157375	159327	159860	167016	167016	156403	153184	155203	153780	153280	152781	150793	145892	153977	140753	140321	142013	112717	25188	25546	25382	24448	43903	43817	43817	44357	46639	46700	47486	47486	49175	47827	50408	48592	48592	48701	49587	49008	46671	46671	45912	46430	47440	46386	46386	44609	42345	41078	41958	41958	31540	30466	29828	29930	29930	26752	25173	24522	26192	26192	25015	24856	24450	24103	24103	22561	22650	22786	23221	23221	22187	21244	17607
Các khoản phải thu dài hạn###Long term Account Receivable	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	565	615	615	0	515	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	80240	82558	84945	84945	85437	87814	89438	91903	91903	77458	78417	80410	72571	72571	74256	74175	73784	72971	123397	124322	10014	8718	9162	9162	9501	8793	7590	11581	7478	7827	8262	12070	12487	12487	12813	13290	14040	9799	14235	14301	14774	37188	20246	34937	34252	34361	34555	21365	33821	32088	30352	28985	29333	29333	18891	17595	17024	16896	16896	14770	12649	11735	12644	12644	12194	12183	11834	11370	11370	11210	11288	11426	11880	11880	11238	11165	9525
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-67518	-65152	-62777	-62777	-60439	-58073	-57184	-54731	-54731	-52671	-50633	-50100	-48174	-48174	-47380	-46861	-45628	-43923	-43923	-42727	-40991	-40541	-40108	-40108	-39626	-39177	-38686	-38203	-38203	-37724	-37247	-36731	-36233	-36233	-35736	-35196	-35800	-35245	-35245	-34694	-34267	-33730	-33202	-33202	-33281	-32821	-32339	-32500	-32500	-32024	-32273	-31885	-31498	0	-31687	0	-32603	-32249	-32249	-32447	-32041	-31386	-32262	-32262	0	-31489	-30953	-30419	-30419	-29892	-29371	-28824	0	0	0	0	0
