CAN DOI KE TOAN	 2019	Q2 2019	 2018	Q3 2018	Q2 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	525765	544035	562562	865588	854051	877222	877222	1105832	1134655	1141138	1148138	1272835	1272835	1274940	1256452	1299571	1223744	1273738	1165909	1191670	1195429	1180201	1181661	1319271	1261164	1228083	1228000	1241031	1176983	1195701	1183809	1265835	1105925	1007142	1165482	975168	787616	702937	614027	500512	502900	452723	366398	400457	373467	397476	416004	416671	508019	502652	481473	490025	490025	507851	476557	470935	483798	480322	390928	414649	347246	312469	312051	269460	250201	233981
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1833	1954	1940	1534	4775	2694	2694	2597	11757	3164	14710	13027	13027	9220	13214	16133	34135	33275	12168	13203	34577	27341	27341	27320	27225	27658	73516	73516	37143	56451	57579	60980	60971	42336	42018	46437	122035	109978	38198	66323	52287	47484	41770	55552	52307	10554	9772	9747	35038	39975	16245	37202	37202	62640	95929	107927	152436	152436	57829	109419	87617	3829	38288	4730	2947	1295
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	58809	58809	150700	56309	162660	57169	56309	53309	53309	53309	53309	58259	53309	53309	62789	153495	153495	101954	190467	34010	20150	0	0	26000	26000	26000	0	10000	10150	0	875	1483	8709	7719	7532	8792	8885	9719	15884	15884	9721	6651	1800	3500	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	408797	430177	446527	649781	621410	644956	644956	786695	794421	801513	820450	885612	885612	796910	808250	761686	774709	719198	713242	732531	713344	745837	747306	815909	763269	740766	704556	706948	563323	570078	603117	598951	599108	535702	720688	600506	469888	439531	348691	215106	240268	254051	244999	210847	192328	249488	258264	257738	243403	221661	224565	208686	208686	212268	170243	141204	154312	154312	140826	132205	128580	139889	141576	111470	91379	85933
Hàng tồn kho###Inventory	115126	111181	114085	213907	227144	229563	229563	316182	324763	332392	309976	371194	371194	370094	341392	331643	324218	324218	346887	349949	357132	325441	325441	394806	390623	384641	382325	383618	397931	392731	397008	393570	390417	377784	364302	300569	159141	124125	185898	205520	193493	128887	77828	131935	124922	127172	139133	139133	217924	230542	229790	225878	225878	222264	200708	215457	170124	170124	186608	170570	129830	134199	132187	152312	154210	143544
Tài sản ngắn hạn khác###Other Current Assets	9	722	9	366	722	9	9	358	714	1071	1	2	2	39907	34788	39410	34374	34388	36443	39678	37067	28273	28265	27926	21788	21709	14294	14161	25091	22946	24151	21866	21419	31170	38474	27655	10552	3303	15241	13564	6851	12151	1801	1248	2427	1552	1117	2520	2863	1588	1153	2375	2375	958	3025	4546	3427	3451	5665	2455	1220	91	0	948	1665	3209
Tài sản dài hạn###Non-current Assets	364824	370808	375604	346303	364456	405999	405999	520616	523467	513020	500917	384707	384707	390293	390694	395709	401574	319449	330044	334376	389963	416865	417622	411413	431999	464135	464760	466964	471434	478067	522320	525348	682319	681127	597988	582699	453139	392684	436913	420035	364162	378235	304109	213789	215435	226695	234287	226034	241482	237509	227288	216853	216853	205327	189938	162395	124658	128158	121412	120527	117507	110595	110595	93423	91320	78680
Các khoản phải thu dài hạn###Long term Account Receivable	1361	1361	1361	1361	1361	3733	3733	4164	4164	4164	4116	113	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	738	731	731	726	443	423	417	0	693	575	253	558	0	0	0	0	0	0	0	0	0	0	0	0	0	790	790	790	790	790	790	1603	1603	6491	6491	0
Tài sản cố định ###Fixed assets	117973	122334	127117	129780	132257	59275	59275	63184	65615	67955	62304	37241	37241	38732	40084	43168	84554	46157	50265	53228	117292	176075	175680	175401	180930	310683	264259	312610	315807	319956	346951	307703	350098	347778	337046	331837	163956	72734	166489	162954	165865	172149	81112	82488	81585	84553	87408	87408	84657	87493	84049	80902	80902	72250	73727	73084	55192	55192	66159	66549	64581	72627	72627	55682	54343	47702
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-75184	-72209	-69194	-67413	-71661	-75316	-75316	-87598	-91217	-94804	-93919	-187965	-187965	-186171	-192044	-193759	-190657	-190657	-186840	-185543	-192453	-188101	-188351	-183278	-177922	-176992	-171970	-171970	-166195	-160409	-178427	-177917	-177727	-170682	-167747	-162003	-155559	0	-149266	-144867	-138714	-132512	-96233	-89099	-86946	-83236	-80492	-80492	-77676	-74848	-69345	-67119	-67119	-64932	-62522	-60325	-58502	-58502	-59190	-59044	-57243	0	0	0	0	0
