CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q2 2010	 2009	Q4 2009	Q1 2009	 2008
Tài sản ngắn hạn###Current Assets	36016	35975	35522	35674	38979	40247	40005	41306	41353	44427	41667	40175	42562	39607	39223	39952	38166	39516	39563	42832	28510	32298	33138	33138	28554	27726	29374	27675	27859	20182	15943	15198	15430	15432	16405	14286	13501	16539	16561	16256	16200	19542	19680	19744	20779	16979	15396	13765	13765	0	29701	29701	13749	13749
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1485	9231	9282	1282	990	2812	2421	4186	4186	4486	2761	2274	4330	4255	3586	4603	25262	18670	35670	36903	21198	24078	28786	28786	24129	23499	22694	23203	14203	16774	12157	6873	11102	11102	7980	6147	5687	7256	7256	8822	9648	5685	9830	4830	4188	4138	4354	2638	2638	0	6696	6696	4817	4817
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	24000	17000	17000	25000	29000	31000	30000	30000	30000	31000	31000	31000	31000	31000	31000	31000	9000	17000	0	0	0	0	0	0	0	0	0	0	9000	0	0	4800	0	0	2500	3150	2700	4450	4450	3000	2350	5000	0	5000	3400	5900	3454	5000	5000	0	15000	15000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	8930	8518	7863	8046	7220	4908	5647	4691	4731	5641	5649	5179	6217	4275	4516	4241	3575	3385	3385	5073	5972	7288	4009	4009	4083	4042	6026	4030	3513	2003	2500	2095	3030	3030	4670	3231	3169	3681	3703	2211	2107	2342	1884	1884	4857	1731	2575	2498	2498	6989	4597	4597	3669	3669
Hàng tồn kho###Inventory	50	48	51	51	51	64	107	354	354	493	530	407	57	57	73	57	70	57	57	249	272	254	287	287	257	172	158	183	183	217	215	170	153	153	134	181	251	200	200	193	138	4688	6128	6128	6304	3078	2657	2457	2457	0	2655	2655	3544	3544
Tài sản ngắn hạn khác###Other Current Assets	1551	1178	1327	1295	1718	1463	1829	2074	2082	2807	1726	1315	958	19	48	50	259	403	450	607	1068	678	56	56	85	14	497	259	959	1188	1072	1259	1146	1147	1122	1577	1693	952	952	2030	1957	1827	1838	1902	2030	2133	2357	1173	1173	0	754	754	1719	1719
Tài sản dài hạn###Non-current Assets	7675	7996	8174	8137	4961	4922	5056	5182	5182	6174	6445	6143	5013	6838	5884	4634	4505	5242	5195	6764	20305	20294	20770	20770	20820	20615	20206	23969	23757	25388	25724	26302	27311	27370	26847	26798	27298	27299	27321	26873	26083	26211	26791	26636	27146	27627	28247	28766	28766	0	25146	25146	26867	26867
Các khoản phải thu dài hạn###Long term Account Receivable	371	396	396	306	286	215	215	215	215	217	220	222	229	227	233	540	241	277	277	316	310	190	190	190	205	449	-1057	434	0	0	0	0	0	284	254	15	15	15	15	15	15	85	85	85	105	105	417	416	417	0	104	105	70	70
Tài sản cố định ###Fixed assets	2205	2367	2575	2575	2745	2860	3028	3197	3197	3239	3400	407	447	447	490	533	575	618	618	1637	1758	1790	1864	1864	1966	1405	1123	1219	1219	1365	1494	16361	16537	16537	15899	16020	16221	1584	16116	16324	16541	16860	2478	17009	17250	17505	17470	3468	17717	3256	17936	17936	20356	20356
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3798	-4307	-4152	-4152	-3982	-3814	-3646	-3477	-3477	-3308	-3147	-3070	-3030	-3030	-2988	-2945	-2902	-2860	-2860	-2994	-4659	-4584	-4510	-4510	-4624	-4781	-4801	-4921	-4921	-5548	-5419	-5890	-5714	-5714	-5666	-5876	-5928	-5735	-5735	-5526	-5399	-5136	-4988	-4988	-4766	-4905	-4659	-4413	-4413	-4626	-4192	0	0	0
