CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1189325	935443	1651014	1651014	1294947	1588787	1516441	1571368	1571368	1336393	1112073	1001433	2829758	2829758	2446454	2323109	1866787	2323304	2323304	1970508	1774970	1703821	1774965	1774965	1479731	1601538	1443122	1772013	1772013	1365562	1211146	910836	1001240	1001240	761066	558901	606745	606592	606592	661278	609406	762112	761003	741000	696817	697971	676789	676789	558822	441877	441877	336749	336749	336397	236623
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	38764	148055	218388	218388	192728	186898	87674	195174	195174	534239	443687	360675	2495715	2495715	1082371	1578464	865118	1614296	1614296	1473682	743037	539488	1425460	1425460	332027	135761	899635	1370410	1370410	801048	754049	535819	751034	751034	313017	51758	214371	275248	275248	188315	127242	298222	298222	278452	185797	204522	361738	361738	316943	235091	235091	24145	24145	37807	27819
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	150000	0	0	0	0	0	0	0	100000	100000	100000	0	0	977000	422500	698500	445000	445000	80000	595000	772500	0	0	640000	879000	0	0	0	0	0	18090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72175	72175	153000	96500
Các khoản phải thu ngắn hạn###Short term Account Receivables	824724	299570	1214119	1214119	846571	1080742	1118672	1095156	1095156	474228	263193	218119	43705	43705	33792	31676	35818	57038	57038	53150	69193	46733	57468	57468	56144	76845	59410	61589	61589	113654	108794	60049	83833	83833	111433	142817	87407	93356	93356	123264	111597	162235	161317	200874	174338	191042	111857	111857	132662	94129	94129	89344	89344	49195	44235
Hàng tồn kho###Inventory	316711	328387	209197	209197	245768	311229	300361	271748	271748	218037	295181	312469	276210	276210	328963	279747	255145	192958	192958	354516	362702	342641	291532	291532	448775	507616	477178	335150	335150	449093	344196	295636	165525	165525	335308	362047	302123	235125	235125	343358	350023	252329	254728	223916	309125	207219	196734	196734	108204	105614	105614	142375	142375	93035	56957
Tài sản ngắn hạn khác###Other Current Assets	9126	9431	9310	9310	9880	9918	9734	9290	9290	9889	10013	10169	14127	14127	24328	10721	12206	14012	14012	9160	5037	2459	505	505	2786	2316	6899	4864	4864	1768	4107	1243	848	848	1307	2279	2844	2862	2862	6342	20544	49327	46736	37759	27557	95187	6461	6461	1013	7043	7043	8708	8708	3361	11112
Tài sản dài hạn###Non-current Assets	1162546	1162771	574314	574314	587700	606471	623936	645268	645268	662928	684949	712075	753586	753586	768582	784858	799273	816956	816956	818859	785690	746458	754495	754495	747635	745748	711709	716780	716780	660844	666098	628999	612112	612112	595029	535620	535926	526596	526596	266322	235177	55953	55953	52148	52660	52011	52438	52438	54681	50075	50075	53961	53961	43036	41458
Các khoản phải thu dài hạn###Long term Account Receivable	614750	605027	5	5	5	5	5	5	5	5	257	0	199	199	199	281	281	787	787	787	787	676	511	511	1075	483	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	494421	507808	524529	524529	541669	558448	578664	595439	595439	612263	632467	652333	666555	666555	610847	630467	648985	666254	666254	531357	540254	543771	558556	558556	584083	587270	597928	699555	611958	562089	406765	146476	600257	600257	588107	528259	530878	162209	521227	266322	235177	51201	55953	52148	52660	52011	50254	52438	54681	50075	50075	53961	53961	43036	39918
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-598039	-581461	-564796	-564796	-545721	-526370	-506475	-486769	-486769	-466088	-445792	-425455	-405212	-405212	-385894	-365759	-350105	-331400	-331400	-312980	-298258	-283428	-268891	-268891	-253994	-239220	-224261	-209328	-209328	-196864	-185468	-178243	-171602	-171602	-165056	-159394	-156376	-149701	-149701	-148518	-145241	-139691	-139691	-138340	-136307	-134276	-131576	-131576	-129930	-123560	-123560	-115459	-115459	-109239	-104393
