CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	85226	79636	82008	78416	77653	75611	80508	78392	84239	70742	68336	72732	77003	89535	89444	89370	91288	102772	103485	113629	124444	124884	131139	185998	182955	185826	206144	161637	220396	223094	223787	231947	229842	240615	235460	241931	241974	241002	256585	235827	244584	229427	251726	251726	297060	257036	248798	211081	234746	230621	202182	179856	179856	240431	231448	219001	190783	174224	115149	116971	113824	108491	108491	83232	71472	77309	60336	74582	69095
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4444	4655	2253	2231	2143	2549	4096	10856	9174	4214	2522	2619	2186	1762	2868	3395	2935	3202	3098	1909	2309	146	1826	1885	1625	2530	3108	4112	2187	3749	6100	5327	3829	3850	4503	9069	2241	2352	3318	8374	3721	6193	3401	3401	2468	2273	4372	6437	6701	2981	5362	9591	9591	1790	4997	5097	14473	2745	4706	7936	8076	7316	7316	8140	2346	4598	5949	1466	913
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	67340	61503	63990	65588	59402	62558	65856	59849	64568	60819	60994	66962	68853	74204	73376	63840	68094	79591	76084	74213	75469	71074	69180	65636	64111	69114	71700	69735	68540	81635	84854	82505	85850	83852	72655	82454	95420	98444	81019	71227	98183	110187	129700	129700	151254	133405	123552	111135	107213	84670	72496	63846	63846	92805	100000	120173	92598	78273	67007	67271	65232	65155	65155	66646	53617	56825	43223	22354	59584
Hàng tồn kho###Inventory	12116	12277	14313	10591	15367	10266	10556	7687	10497	5709	4742	3150	5965	13569	13200	21750	20259	19979	24172	37376	46536	53534	60003	117889	113972	111152	128053	87651	146389	134336	129007	141212	137338	150129	156150	146945	138581	137033	166718	152303	135364	111137	116689	116689	132050	112977	115628	89191	116473	135911	118583	105319	105319	141547	120344	83361	81515	83802	38253	37440	36947	34901	34901	4871	10256	12891	10791	7211	7896
Tài sản ngắn hạn khác###Other Current Assets	1325	1202	1452	7	740	239	0	0	0	0	77	0	0	0	0	385	0	0	130	130	130	130	130	588	3248	3030	3283	140	3280	3375	3826	2903	2824	2783	2152	3464	5731	3173	5529	3923	7317	1910	1936	1936	11288	8381	5245	4318	4358	7058	5740	1099	1099	4289	6107	10371	2197	9403	5183	4324	3570	1120	1120	3575	5252	2995	373	43551	703
Tài sản dài hạn###Non-current Assets	58252	56274	56449	57528	57831	57670	57854	57955	58060	56844	56562	61219	60700	52867	53049	53928	50625	54303	52571	52760	53040	57025	53384	12702	13074	18069	17072	57423	17982	19623	21100	23035	24996	24917	28593	33279	36599	38822	39056	41545	43918	52384	57674	57674	63204	67857	72355	78034	77205	83909	81578	76444	76444	67662	60169	66164	62678	61126	57497	53639	48151	50262	50262	45212	49614	36531	37048	37001	24428
Các khoản phải thu dài hạn###Long term Account Receivable	514	91	91	91	218	1067	1067	1067	1067	41	41	41	41	41	41	41	41	41	15	15	15	15	15	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2458	1166	1314	1314	1462	425	554	655	683	808	643	500	663	673	856	1028	1221	1403	1092	1281	1560	2077	2164	4047	4056	9089	8427	9351	9336	10618	12124	14029	16021	15927	19602	21788	28274	26431	30655	33078	35518	43963	45173	49191	53769	58346	63873	61988	69328	75666	75841	74264	74264	65199	57147	64493	61322	59977	55972	52260	47686	49820	49820	45212	49614	36531	37048	37001	24428
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-72489	-86978	-86830	-86830	-86682	-86543	-86414	-86281	-86253	-86128	-87194	-87062	-91062	-91052	-90869	-91469	-91718	-91983	-95313	-95125	-94845	-95699	-95613	-101202	-96810	-101529	-110164	-110100	-111629	-110347	-107327	-107183	-103678	-105306	-105235	-102929	-104077	-101754	-101615	-99064	-96624	-108263	-104896	-104896	-103226	-98649	-95750	-91167	-90938	-84181	-81765	-71023	-71023	-65364	-60312	-53123	-51772	-49451	-48645	-44569	-40892	-37218	-37218	-35161	-29024	-28549	-26820	-29321	0
