CAN DOI KE TOAN	 2018	 2017	 2016	 2015	Q4 2015	Q2 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	31854	21518	8028	24513	24513	9715	235710	235710	235643	234154	230186	226080	226080	234881	231784	226116	223879	223530	246162	230371	229048	209637	209637	221788	205631	204710	199005	199005	191127	193600	188567	170413	170386	147190	132861	130886	129827	107902
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2429	136	257	199	199	158	95	95	146	3095	270	399	399	169	344	93	160	160	3422	144	87	627	627	3215	3823	4690	11047	11047	445	1223	353	1106	1106	8411	1414	1573	1508	880
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	2880	3200	2880	2880	2880	2880	2880	2880	550	550	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	28872	20508	7137	7363	7363	6156	4699	4699	7374	6016	6643	5702	5702	19305	19364	18305	19020	21042	22045	15085	14836	2830	2830	20639	9305	28087	15671	15671	18328	21755	14711	33487	33326	4561	5683	3961	3780	1370
Hàng tồn kho###Inventory	0	0	44	13624	13624	44	226548	226548	223061	220418	218544	215141	215141	209939	206976	202395	198944	196932	213729	207732	203149	198829	198829	193728	189550	168324	169932	169932	167044	167552	171073	135219	135219	133160	124765	124152	123754	104591
Tài sản ngắn hạn khác###Other Current Assets	552	874	591	447	447	477	1487	1487	2183	1746	1848	1958	1958	2588	2219	2443	2555	2516	4086	4530	8096	4471	4471	3656	2402	3609	2356	2356	5311	3070	2430	601	735	1057	999	1200	784	1060
Tài sản dài hạn###Non-current Assets	321956	272884	255606	254026	254026	239100	4836	4836	5311	5689	6118	6534	6534	11077	6832	7070	7449	8642	8453	6967	156	367	367	330	593	281	274	274	350	170	190	197	197	4643	4664	4705	4726	293
Các khoản phải thu dài hạn###Long term Account Receivable	24	29	29	29	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	0	24	1319	2823	2823	3567	4316	4316	4688	5069	5430	5814	5814	6242	6454	6949	7328	7191	6735	6716	77	106	106	120	134	71	64	64	62	65	85	92	92	113	134	155	176	197
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-8998	-8974	-7679	-6175	-6175	-4028	-4682	-4682	-4310	-3929	-2166	-3184	-1781	-1488	-2437	-2317	-1939	-543	-1523	-908	-302	-301	-301	-287	-274	-264	-255	-255	-238	-220	-200	-179	-179	-158	0	-116	-95	-17
