CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	Q4 2008	Q3 2008	Q2 2008
Tài sản ngắn hạn###Current Assets	46005	50571	53969	57306	70470	75255	76720	81224	82350	98085	102133	112215	115838	116032	146858	198019	243053	213291	223525	265485	278551	292583	308303	311244	321679	372824	342984	349125	349125	351000	363353	354308	386011	386011	419442	320614	325463	290101	290101	245114	219072	220608	229794	229794	228313	249124	207756	223090	223090	236519	221579	234603	249209	249209	131852	153212	100661	100661	103290	167209
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	12	348	17	17	110	64	60	3880	3880	76	263	1014	63	63	27	2892	17571	4451	4451	18990	1329	9036	3440	3440	1495	2781	1706	7505	7505	1224	3628	3889	9080	9080	15422	5083	1677	4878	4878	1944	9761	7073	23024	23024	1311	11630	6906	22329	22329	27904	29227	13966	15131	15131	3434	7709	1819	1819	3550	4236
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	38363	42600	46331	49667	33339	39134	40668	41538	41538	54646	57236	64838	63089	63283	94191	143063	161917	151004	159292	177582	200357	183387	191417	194358	182143	191812	189883	191370	189295	181573	208090	211002	214806	214806	240230	156546	165840	137158	137158	119001	110672	99456	94113	94113	116234	121197	94617	106205	106205	117604	103142	129985	129720	129720	64683	104501	43574	43574	37140	71175
Hàng tồn kho###Inventory	7606	7606	7606	7606	36970	36014	35976	35791	36917	43271	44619	46349	52662	52662	52213	52049	61688	56252	56252	67648	76550	99994	113374	113374	137683	174917	151380	150070	150070	165101	147697	135628	159211	159211	158280	148204	149209	139027	139027	114123	86858	101579	98227	97022	83750	93296	84856	76271	76271	83420	83161	84599	97748	97748	58850	37934	53256	53256	61672	90052
Tài sản ngắn hạn khác###Other Current Assets	24	16	15	15	52	43	15	15	15	92	15	15	24	24	427	15	1877	1585	3531	65	315	166	72	72	358	3315	15	180	2255	3101	3938	3789	2915	2915	5510	10782	8737	9040	9040	10045	11781	12500	14431	15635	27018	23002	21376	18285	18285	7590	6050	6053	6610	6610	4885	3069	2011	2011	927	1745
Tài sản dài hạn###Non-current Assets	92713	92815	92857	92857	93005	93153	93301	93448	93448	93581	93724	101500	103010	102585	107360	566577	637059	645574	632330	26123	29403	28873	31922	29972	34332	43053	51693	55771	55771	61789	61500	63298	68018	68018	62163	121374	109973	114523	114523	118217	115304	115260	115218	115218	109779	100654	103198	87757	87757	72312	65408	62666	62340	62340	71070	66424	76930	76736	71411	66318
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	120	120	120	120	120	120	309	-8908	309	309	263	248	-1702	219	173	99	29	0	0	0	29	0	0	0	0	0	0	29	29	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	159	261	304	304	452	599	747	895	895	1027	1170	8733	9461	9461	12744	560375	568525	577738	577738	18149	22892	21874	23271	23271	27386	30417	33961	37056	37056	41239	44577	51139	65680	65680	59123	116992	105198	49546	110052	113471	109859	113368	57818	112864	107756	100055	102521	60516	86832	71731	65228	62495	62128	62128	68243	65639	75403	75403	69828	64297
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-35674	-35673	-41819	-41819	-41671	-41523	-41375	-61651	-61651	-65578	-65435	-160376	-159647	-165624	-171772	-251568	-245238	-238643	-238643	-171106	-183940	-183796	-183173	-183173	-192590	-189156	-185292	-181033	-181033	-176392	-171716	-167804	-163488	-163488	-157711	-153096	-149043	-144136	-144136	-139313	-136706	-132801	-128702	-128702	-123395	-117325	-111131	-105054	-105054	-99103	-93240	-87077	-80162	-80162	0	0	-52203	-52203	-45880	-40287
