CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	2324947	2493149	2345669	2345669	2583878	2685520	2239865	1975278	1975278	2408695	2628278	2095459	2189992	2189992	2085217	1970303	1940712	2039280	2039280	1847912	1816481	1669379	1834615	1834615	2095625	2429654	2658367	3063307	3063307	3389196	2775841	2324925	2114167	2114167	2344217	2136333	1882284	1690259	1690259	2210772	2021465	1493008	1429181	1429181	1240597	1160143	1273563	898721	898721	886951	944579	761303	679839	679839	592146	608454	517106	602747
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1486750	1512904	1445989	1445989	1680622	1796432	1410111	1151771	1151771	1553243	1762763	1290160	1499178	1499178	1414438	1289612	1309041	1484322	1484322	1378260	1315745	1196533	1284126	1284126	1448091	1572949	1929171	1963089	1963089	2230969	1557042	1211674	927256	927256	1029881	849666	738097	585289	585289	1188851	1076224	625822	773144	773144	552568	483698	607591	431788	431788	566692	635892	517903	487569	487569	453753	469331	405775	532304
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6866	6866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	700732	829297	772010	772010	776561	763149	708558	702511	702511	761555	773255	728200	617662	617662	598390	609267	573073	490603	490603	405735	449315	412278	481499	481499	576738	789038	671332	1035662	1035662	1097990	1159570	1055183	1129910	1129910	1265558	1238680	1098244	1053345	1053345	971342	927972	839704	619862	619862	676335	663536	656590	456943	456943	307500	282478	231186	177481	177481	127161	121258	103196	64457
Hàng tồn kho###Inventory	62860	63668	64392	64392	63731	64894	62606	60380	60380	35793	38338	33520	31564	31564	28308	24379	23407	21994	21994	18281	18210	19080	19290	19290	19138	18344	18485	16384	16384	14317	11916	10875	11154	11154	10065	9492	9575	9332	9332	10702	10115	9532	9378	9378	8357	8155	7642	7148	7148	6026	6436	6506	6402	6402	6433	5566	5002	4183
Tài sản ngắn hạn khác###Other Current Assets	74605	87280	63278	63278	62964	61045	58589	60616	60616	58103	53922	43579	41588	41588	44082	47045	35191	42361	42361	38770	26345	41488	49700	49700	51659	49324	39379	48172	48172	45920	47313	47193	45847	45847	38712	38495	36368	42293	42293	39878	7154	17949	26797	26797	3337	4755	1739	2842	2842	6732	19773	5708	8387	8387	4799	12298	3134	1804
Tài sản dài hạn###Non-current Assets	579386	592022	615468	615468	622918	630586	645557	669056	669056	726234	745776	758961	769275	769275	767205	766607	762256	786865	786865	807046	822557	851256	888106	888106	817451	745052	380402	396476	396476	390352	395623	433749	433170	433170	361436	360986	357820	359035	359035	303977	299090	298767	299180	299180	79582	80794	81558	78847	78847	69483	72758	79454	84976	84976	89961	104713	110687	124690
Các khoản phải thu dài hạn###Long term Account Receivable	2855	2855	2847	2847	2843	2752	2734	2734	2734	2734	2734	2734	2824	2824	2663	2663	2753	2753	2753	3251	4583	4957	4857	4857	4857	4236	3831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	466333	483743	502508	502508	500326	518809	536173	557087	557087	620791	635682	626624	655923	655923	616365	633617	658494	683462	637618	709605	751721	778911	799756	799756	769534	307278	311517	364780	349938	359459	375074	421150	419609	419609	356730	357320	354005	322858	355070	299863	296469	296145	57174	297339	78763	79975	80739	63189	77883	68664	70585	71594	73435	73435	75239	77051	80740	86905
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-792772	-772849	-753030	-753030	-733002	-713525	-693930	-673260	-673260	-637299	-620910	-591748	-562074	-562074	-530514	-504089	-479142	-452994	-452396	-413618	-374790	-333298	-291014	-291014	-246988	-213432	-206596	-168347	-168347	-158692	-144721	-131207	-119479	-119479	-107964	-99928	-90575	-81231	-81231	-71560	-62685	-48230	-45321	-45321	-45924	-42916	-39956	-37107	-37107	-34299	-31458	-28642	-25811	-25811	-22992	0	-14955	-4821
