CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	4695954	6035906	6063803	5941498	6168298	6847873	6535361	6743179	6759323	6267729	5677051	4909285	4910932	4878494	4506472	5157555	4956035	4146750	4152361	3727701	3260649	2094017	2240349	2211112	1625349	1853110	1845403	1715675	1616724	1650532	1680315	1811851	1847445	1880913	1542787	1383684	1296969	1264315	1375434	1171777	1175374	1298127	1328055	1465108	1457527	1637537	1411762	1279671	1279671	1445933	1146809	1071345	1093078	1093078	611347	398810	376934
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	409674	632811	400931	409178	425559	968440	536142	387721	651648	682321	389669	364381	707324	717423	410887	1296727	988883	627094	725253	761740	434984	216722	695367	599645	208551	321625	431390	348073	378561	297579	361957	293220	294241	294012	190405	100911	35590	90498	90447	74386	98822	47828	105877	99673	66189	62024	43287	58977	58977	63789	56800	165789	83702	83702	86359	26600	25609
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	105200	527205	249453	38442	55081	317743	117581	111244	111244	106293	73358	55011	28521	18122	18122	38031	47793	55183	54534	20003	21740	76245	61193	197211	151745	44008	91023	92980	95534	48682	33564	107967	85251	85251	37034	35115	38871	38171	37572	36901	41006	39072	67692	67692	113887	115353	251306	248746	248746	421221	381234	229801	299347	299347	11951	10000	10000
Các khoản phải thu ngắn hạn###Short term Account Receivables	1787129	1734832	1716004	2270015	2040674	1760971	1866357	2299600	2129234	1365852	1417827	1151238	1087471	1059137	1069158	1035635	1263702	1009261	872366	771469	661608	433028	461737	426257	228517	288618	259866	375268	302068	259903	214164	236687	300101	458486	299406	256590	301563	308737	377530	243129	211996	371045	430599	554861	410738	469073	338003	353926	353926	256145	103216	110044	175475	175475	127168	154153	152720
Hàng tồn kho###Inventory	2191587	2934258	3498007	3037144	3394186	3562098	3774728	3834705	3757920	3990057	3692981	3205697	3017605	2980035	2955278	2731442	2599742	2391265	2442681	2121552	2087590	1325174	985023	927001	983707	1170127	989738	889048	796330	991448	1020026	1123532	1121823	996147	962822	919024	846100	757617	791915	762135	747292	767408	678517	702933	693622	811839	591631	484596	484596	552821	474782	457569	450081	450081	336192	151340	42210
Tài sản ngắn hạn khác###Other Current Assets	202364	206800	199407	186720	252799	238621	240553	109909	109276	123206	103216	132958	70010	103777	53026	55720	55916	63947	57528	52937	54726	42848	37028	60998	52830	28731	73386	10306	44231	52920	50604	50444	46029	47016	53120	72044	74845	69293	77970	55226	76258	72773	45371	39948	173091	179248	187536	133425	133425	151957	130778	108142	84473	84473	49677	56717	146396
Tài sản dài hạn###Non-current Assets	8665403	8196396	7802517	7455205	6886493	6638255	5938329	4343401	4142396	4083459	3926839	3984525	3504571	3548120	3035332	2748545	2664831	2553566	2365802	2141741	1969389	919651	814632	824502	757362	735837	665852	578089	577709	558885	470450	471675	480354	464439	546241	536414	581297	562517	571903	552969	542123	322029	304161	231367	221782	229268	222431	192689	192689	145772	130393	105364	106517	106517	68389	43598	24132
Các khoản phải thu dài hạn###Long term Account Receivable	8975	8975	8975	107775	110175	110175	254992	221823	249636	250239	221815	248768	221867	259561	221907	127878	124987	121813	121828	117018	117008	117000	117000	117400	117675	119476	78241	0	0	0	0	0	0	0	0	2000	0	0	0	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3422019	3316499	3358548	3215652	3205299	3225428	2262657	2289859	2296683	1110229	1125827	1137806	1154464	1170033	1157694	1160580	1175246	1168916	1009554	1077404	1081683	115230	117096	117304	118185	122548	121750	126240	126157	127890	55411	60285	96481	99427	99131	100458	139322	73476	251058	338028	323805	131301	84847	124303	118691	119885	117668	67045	101823	76591	65168	52662	50268	50268	23358	13193	8052
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-937856	-922202	-880877	-883035	-858117	-816871	-780459	-745761	-745024	-738767	-721574	-702467	-681823	-664293	-654700	-643352	-620560	-603549	-408936	-392741	-377048	-119466	-116399	-115801	-111896	-110280	-105430	-101250	-101280	-96520	-91716	-86982	-82111	-83019	-78064	-76025	-71721	-68800	-69000	-64160	-60379	-56355	-51961	-51823	-47720	-44866	-41019	-37684	-37684	-35124	-33012	-30543	-27880	-27880	-20625	-17395	-14575
