CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	2753447	3746798	3591296	4132518	4191797	4524429	4086323	4061676	4064262	3921936	3965505	3052204	3297982	3302930	3003735	3013119	3403742	3084462	3107865	3246026	3262175	3034955	3135386	3145185	3084011	2733911	2130479	1901481	1897703	2016964	1225997	1150123	1218447	1236293	1263387	1369311	1259643	1180234	1142060	1147547	1159514	1378147	1176700	1152877	1082612	1116116	1269126	963930	985904	897479	645275	620243	531702	531702	260178	257406
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	130634	133874	168009	135710	87630	71909	62699	79632	82724	80610	111788	124223	373766	375734	151528	122837	91237	96809	97055	112516	138647	187193	220108	216317	282098	358965	287065	106621	106620	218183	81748	10125	82089	82714	38777	88667	5158	6289	6284	11901	6787	6133	8671	4811	10657	32377	252511	17120	16499	71492	37703	29076	13438	13438	26045	43042
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	246313	246278	245808	264000	264000	264000	264000	264000	264000	280048	279782	279039	297462	297291	279039	279039	278095	580095	580095	581644	581644	850436	837265	835400	458400	474400	371900	340000	789673	700867	190679	162348	253271	253471	274935	291035	139085	139331	145538	157477	152350	45727	45377	48576	68611	71538	51104	51130	14530	77613	12113	15195	13989	13989	16313	12900
Các khoản phải thu ngắn hạn###Short term Account Receivables	1945396	2907354	2756402	3251948	3157500	3458240	2973807	2950478	2948089	2824065	2865884	2068091	2056915	2061828	1988272	2096496	2633515	1990009	2011874	2009952	2018783	1478389	1523713	1541536	1822890	1567871	1220441	1035308	546258	573389	542454	627764	512241	528806	581121	649131	728490	624776	605023	607721	581238	880340	709771	686046	593074	614371	622865	540720	547881	419245	301280	337561	252199	252199	71831	98090
Hàng tồn kho###Inventory	413123	439758	405275	465248	667513	714899	762239	745032	748337	720375	692827	571066	541212	539451	565664	500892	393285	413497	414758	538349	517896	508058	535384	533015	497135	314503	234815	381765	382338	375074	353911	299825	333644	333738	320262	303769	353334	380862	354354	343255	392710	411977	385729	386155	380164	364878	317681	333230	385750	306787	276667	212693	239407	239407	132550	102136
Tài sản ngắn hạn khác###Other Current Assets	17981	19534	15802	15612	15154	15381	23578	22534	21112	16838	15224	9786	28627	28625	19232	13856	7611	4053	4084	3564	5205	10880	18916	18917	23488	18171	16258	37787	72814	149451	57206	50061	37202	37564	48293	36709	33576	28976	30862	27193	26429	33970	27152	27289	30107	32952	24967	21729	21244	22342	17512	25717	12668	12668	13440	1238
Tài sản dài hạn###Non-current Assets	5597819	4874413	5023217	4643541	4723806	4228341	4621421	4650582	4624275	4499333	4483995	5030965	5014509	5017228	4983407	4987419	3977993	3926506	3875172	3764824	3768735	3724343	3680222	3665323	3607273	2996745	2507488	2205183	2216850	1873353	1802528	1489480	1201866	1185146	1079720	1021312	1010408	1016558	1065974	1038868	992819	805947	749212	736276	658575	593282	493565	474994	476774	400457	365162	343396	343106	343106	329074	200355
Các khoản phải thu dài hạn###Long term Account Receivable	1818237	1065806	1226406	881827	955970	300077	763015	801838	770719	930590	932290	1250356	1252611	1247398	1297261	1305202	249536	248386	249199	227541	213823	191226	182709	157407	221222	216421	219661	219661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2865552	2943630	2934181	2894521	2930338	2966329	2964290	2992447	2813451	2590806	2598653	2637195	2664947	2667114	2673777	2719127	2592258	2589835	2552324	2547501	2566098	2561356	2536677	2868003	664423	291051	293430	222422	222302	221171	221692	188596	842964	825676	723193	664737	650610	211985	686840	660922	672266	625946	283897	578507	522783	492280	410454	200181	392942	323681	288227	267434	266327	266327	316887	192497
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1568851	-1533551	-1488380	-1489479	-1446494	-1423345	-1392659	-1363804	-1375903	-996652	-962426	-933595	-904202	-549904	-529062	-490436	-463538	-442574	-445921	-408265	-384631	-379618	-365022	-726831	-706457	-51158	-44880	-53701	-53700	-51915	-48706	-54720	-52820	-52904	-55663	-52468	-49992	-46661	-57943	-53653	-61390	-57815	-53631	-48006	-43962	-39882	-37586	-35589	-35587	-33828	-31510	-27823	-27304	-27304	-20159	-15533
