CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	10096876	10595029	9647290	9567278	10084584	9794109	10094092	9686320	9463528	9650262	9813282	11188500	9519097	10449630	11384302	4472667	5165376	4497568	4446673	3809661	4216029	4292907	3663207	3681157	2883587	1921896	2258679	2014969	2014969	2109121	2022214	2551103	1796911	1855582	1759085	1967553	2044132	1421289	1309654	1588981	1010219	1010219	830186	1253891	1403731	839270	745618	543633	696792	752730	576133	614558	467163	562074	646535	658962	606588	672271	642484	802543	758882	752035	566729	365711
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1009915	644481	562948	562917	1178553	1004775	209948	699586	745201	488748	324968	226041	446967	359718	787488	202593	156211	462256	462261	432968	855375	302115	569552	658477	306310	138062	260881	151696	151696	28989	258583	66785	277786	277786	23273	35663	109930	110670	130669	51142	88726	88726	5784	70269	6332	126500	5075	4273	12858	45818	36210	36210	15988	14361	26561	161286	161286	138474	191776	101382	94472	94472	63336	67578
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	885685	424436	842823	842823	762518	767787	872962	906269	861269	664067	614337	459666	338522	425772	751700	112386	44325	127107	127107	130110	46424	64682	63009	63009	7031	186022	180653	178967	178967	120195	96016	373792	118542	118542	261640	221809	312345	202459	536770	170684	126377	126377	253256	183754	115477	140251	261675	208507	195267	165973	104224	104224	138049	137368	114489	108448	107966	227962	129755	321025	376204	369205	309725	94411
Các khoản phải thu ngắn hạn###Short term Account Receivables	5504006	6508472	5507244	5436702	5371969	5036420	5511083	4972261	4747170	5596872	4714795	6555774	5594723	6604426	6374412	2067764	2495491	2644304	2741491	2401895	1930582	2219740	2414594	2350848	1875047	801201	752659	1039791	1039791	1529942	1022253	1151091	1116751	1175421	1053301	828147	630972	729503	298450	674825	511999	511999	344768	516400	425530	274224	180572	200254	166840	121654	133420	171846	198581	176465	145439	149657	97883	110915	168333	130626	129898	130050	40727	47348
Hàng tồn kho###Inventory	2523410	2803742	2365941	2346260	2392251	2781399	3215341	2697449	2700230	2546839	3971723	3682270	2589757	2498277	2982542	1958095	2340083	924781	924804	723089	1333277	1658307	479062	495512	612041	749236	1053785	576399	576399	353651	613062	939360	230952	230952	332350	810861	985207	339388	325581	689640	280343	280343	220957	480246	770102	291791	291791	115595	318571	416017	299758	299758	92927	226914	355007	233307	233307	166086	150208	246698	155888	155888	152092	153236
Tài sản ngắn hạn khác###Other Current Assets	173860	213898	368335	378576	379293	203729	284758	410756	409658	353735	187459	264749	549129	561438	488159	131830	129266	339120	191010	121599	50371	48063	136990	113312	83157	47375	10700	68116	68116	76345	32300	20074	52881	52881	88521	71073	5679	39270	18183	2690	2775	2775	5422	3222	86290	6504	6504	15005	3255	3268	2520	2520	21618	6966	5040	6264	6147	28834	2412	2812	2419	2419	849	3138
Tài sản dài hạn###Non-current Assets	7966088	7804863	7585999	7767391	7756685	6949188	7152695	7216390	7257876	7670205	7880276	7717385	8333913	8031342	8005493	3333549	2825248	2806110	2803029	2838992	2620668	2709039	2606415	2589353	2389763	1372035	1369960	1304793	1304793	1238416	1355883	1365951	1453139	1394469	1188722	1240972	1191725	1213104	1114074	1411422	1305205	1305205	1246954	1226901	1133529	1117612	1211264	1275723	1292302	1248983	1269881	1231456	1199724	1179321	1122891	1107121	962149	942976	957451	973985	956767	963642	952397	1014840
Các khoản phải thu dài hạn###Long term Account Receivable	102320	142435	151130	142289	157809	146095	202029	481854	492523	542476	542698	51723	630129	289102	390034	247604	269716	247934	247934	230619	194048	26240	28017	15309	14038	19015	97502	58149	58149	35720	34788	0	58670	0	0	34362	0	54686	0	100000	100000	100000	100000	100000	100000	100000	193652	188652	185000	100000	100000	100000	88000	51000	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	4242774	4196278	4220315	4214841	4354661	4352308	4316241	4477328	4497130	4576638	4698441	4725636	4729940	4758728	4629181	1442294	1605633	1608956	1608522	1525564	1555356	1596289	1581073	1577649	1420181	533411	526320	632487	523955	537428	556721	576010	638265	638265	619678	632249	649619	582709	639512	648088	616067	652896	643030	658000	664468	626172	680321	699502	715927	732554	749377	710952	718231	736054	751857	768466	768466	783394	798290	814405	830497	830497	897792	960877
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4678157	-4578890	-4483585	-4481427	-4437271	-4323130	-4321230	-4252131	-4263136	-4120339	-3977065	-3840172	-3699228	-3673140	-2767900	-1925380	-1879838	-1835366	-1835271	-1791643	-1746163	-1742670	-1660215	-1658816	-1617891	-1270952	-1249164	-1228976	-1228976	-1209258	-1187621	-1168856	-1148679	-1148679	-1128709	-1107694	-1090556	-1073162	-1033171	-1013050	-994332	-994332	-975501	-955776	-937201	-919388	-919388	-901397	-883598	-865922	-848073	-848073	-833625	-816011	-798128	-780449	-780449	-762828	-745049	-727501	-709979	-709979	-640803	0
