CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	1272896	1387355	1251693	1359857	1034219	1028731	882676	850537	838423	713923	640936	1072103	795902	798706	682893	635799	528304	523913	496123	467810	479903	413375	392762	396281	458345	499343	480181	429422	429540	436135	388259	365886	370607	370999	345160	395738	383589	349743	350391	324149	296248	299711	307699	307798	268849	271768	266645	261862	260923	236470	261658	220611	198343	202428	168687	158011	122006	135113	159099	121826	89734
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	68718	27535	38388	38509	44437	50341	38082	21972	39410	32300	11429	38408	10612	10612	18532	14893	31079	54609	54609	7856	16016	15394	17875	17874	15453	30834	13962	10491	10491	12630	21529	15518	5940	5940	5584	8284	9992	6903	6903	10669	11597	10918	16042	16042	6788	6647	3599	12737	12737	7436	8292	7727	6064	6064	13001	25437	5179	9870	13896	9272	5693
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	17438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	566833	849555	769618	873739	599517	536500	419234	448896	434091	352434	358445	749287	527292	531418	393039	343827	279159	200919	234315	228562	235714	155752	161234	163143	260602	258733	225504	195492	195490	194231	183148	153080	129216	129323	114839	176422	135190	117034	117832	115622	120912	104688	79982	80113	93965	95748	94806	83248	83191	70553	72154	65912	64670	69975	40580	49573	38332	36468	41197	33676	22705
Hàng tồn kho###Inventory	578113	459233	414511	414786	342401	395718	385344	327109	320382	295948	250743	251107	240853	236089	241296	257499	205087	253578	196618	225587	220244	235831	209412	210850	179498	207142	236933	217804	217923	223879	179224	192752	228512	228512	216038	202882	227473	212848	212727	186415	154104	173820	200816	200816	163024	163494	162649	161321	159863	151420	171210	137639	120943	119723	111598	80150	76193	86004	101089	76603	60891
Tài sản ngắn hạn khác###Other Current Assets	59232	51033	29176	32823	47864	46173	40017	35121	44540	33242	20320	33301	17145	20588	30026	19580	12979	14806	10580	5805	7930	6398	4241	4414	2792	2634	3782	5635	5635	5396	4359	4536	6939	7223	8699	8151	10934	12958	12928	11443	9635	10285	10859	10828	5072	5878	5591	4557	5133	7060	10002	9333	6666	6666	3508	2852	2302	2770	2917	2274	444
Tài sản dài hạn###Non-current Assets	1034808	1011342	1019930	1008899	987138	963337	920501	921739	916528	900606	879966	858433	763194	774604	696197	659330	563149	553564	553009	503585	495221	409971	372999	373010	371498	319217	323711	316491	316298	294739	277802	243027	223607	223323	218735	206847	207765	211863	212216	212602	210831	195273	193790	193437	197614	196999	180721	184688	184721	179168	167921	187109	192004	193019	186918	188618	193266	196785	159357	115013	102689
Các khoản phải thu dài hạn###Long term Account Receivable	16172	7237	13477	0	11603	7456	7456	6655	6655	6655	1018	1018	1018	1018	1018	1247	1247	1247	1247	1212	229	0	0	0	0	0	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	602	607	1299	1299
Tài sản cố định ###Fixed assets	800180	834319	861655	862151	849286	848253	747674	763664	621325	554373	441426	414504	433225	335552	468908	472819	458822	435743	435743	435982	436886	352257	305554	305554	266991	264615	233439	306481	239269	191661	193577	231897	212087	211803	206969	196643	197672	167380	201690	201855	199129	183100	147580	179584	183931	183529	167913	137779	171875	166771	148513	153571	158238	158988	161851	164620	169469	173424	138726	110009	99091
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-423900	-410254	-395432	-395065	-380146	-367482	-363468	-351211	-366636	-360594	-352597	-339477	-337201	-309540	-304453	-301753	-308053	-300205	-300205	-299622	-289538	-279365	-269373	-269373	-259746	-254527	-245457	-237468	-237468	-229624	-222482	-218122	-212236	-212236	-205548	-202891	-196000	-189205	-189205	-183110	-178989	-173415	-166715	-166715	-161121	-158719	-156700	-152134	-152083	-146929	-142133	-136910	-132011	-132126	-126562	-121973	-120298	-115810	-101978	-87278	0
