CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	Q3 2006
Tài sản ngắn hạn###Current Assets	542646	577067	624262	607185	568410	571022	560190	591176	589530	626259	611218	506948	539951	661692	695391	599524	736119	790851	793808	845247	834848	745995	804553	808894	793768	788253	802944	768651	768260	788626	719848	734897	697110	698822	709467	666589	642879	675120	720328	724561	676534	631886	619454	475926	481870	446149	431586	429416	429416	402056	365119	336373	334206	335833	352212	288933	235858	227214	195307	237166	235644	227989	226936	228709	236060	274090	236060
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3772	4317	4012	4012	3619	10246	8235	14843	14843	8385	7164	18729	37592	37592	26000	11031	21213	34920	34920	39563	84313	49367	76172	76172	26140	35999	60819	51448	51448	49685	34254	34735	48213	48213	31020	37629	43806	64142	64142	23628	20482	30786	36657	36657	59928	50791	73116	80076	80076	73484	52508	51835	76471	30471	27618	12590	18283	13906	10274	33494	13710	10781	23210	23210	7518	14070	7518
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	285	3178	178	178	178	178	226	12266	16521	16521	14100	36200	11862	22400	6000	6000	0	0	0	0	0	506	506	506	0	0	0	6000	0	10000	10000	0	0	0	0	46000	14000	0	0	4854	4854	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	301566	317589	332705	320542	273406	290426	290779	325468	323337	312661	285959	299038	319524	322761	308380	306180	316888	391429	391719	361144	353560	297545	320861	320539	321074	338482	322415	291598	277332	262385	252367	248869	220843	220857	251648	241466	200428	204826	251578	247690	225848	210330	230367	230367	245386	190107	191696	184125	184125	155341	133544	140937	129888	127907	183558	125493	89293	108521	106996	88063	73749	90051	71618	74316	84801	97677	84801
Hàng tồn kho###Inventory	233537	249389	280914	276193	283396	263462	255214	246885	247296	300759	312335	182336	178135	297091	347494	265337	378503	347505	347857	415316	379219	382120	390588	390588	420970	373566	374621	383868	383868	398732	384994	388357	386497	388199	385204	355017	358902	368989	367446	413824	389074	351666	322246	178709	153853	175231	141556	134825	134825	154036	161343	126933	117036	120694	116583	140002	116383	91458	67151	107833	136964	115735	121418	121419	132136	140032	132136
Tài sản ngắn hạn khác###Other Current Assets	3772	5772	6631	6438	7989	6888	5962	3980	4055	4454	5760	6846	4700	4248	13516	16977	19515	16712	19026	26045	17577	16785	16753	21417	25359	27941	28567	25214	41511	41625	36371	40536	35558	35553	41595	32478	39743	37163	37163	38913	40624	38599	30184	30193	22704	24019	25218	20390	20390	19195	17723	16668	10810	10761	10453	10848	11899	8476	6033	7776	11221	11422	10689	9764	11604	22312	11604
Tài sản dài hạn###Non-current Assets	49032	47956	50967	51413	60358	59186	62977	62848	64255	65766	65663	189315	199893	76388	84482	205097	86985	92366	87354	95340	84890	91408	94497	94491	92285	93784	89105	85831	82763	81114	67361	68537	67353	67353	76944	73718	85764	85712	85878	96699	99052	102425	97740	244847	239183	195120	185183	111264	111264	113849	101115	108078	112571	111491	109495	114996	124937	132062	121524	127930	139160	137907	138307	135855	142436	106348	142436
Các khoản phải thu dài hạn###Long term Account Receivable	1560	1571	1683	1683	1771	2140	2098	2111	2111	1573	1551	1199	1012	1012	2045	2029	2105	2237	2237	2243	2028	1041	3093	1035	2011	1683	5553	8197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	30	30	0	30
Tài sản cố định ###Fixed assets	39880	38175	40083	40083	42086	44089	46206	48332	48332	45996	48332	50587	53023	53023	54469	55710	58263	60947	60918	59769	58830	61625	64665	64665	60885	64323	55944	51908	51908	47588	36185	38966	46168	46168	48191	52126	54154	48464	54744	58890	62154	68212	62070	217783	204432	162891	148823	66434	81535	83199	74146	81539	90192	90192	85682	90930	96845	103903	87712	90490	106229	109764	112219	113157	121385	96346	121385
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-154038	-151999	-154432	-152986	-150871	-152655	-150537	-148412	-148412	-146419	-159231	-156878	-154442	-154442	-241052	-241484	-239966	-237282	-237312	-243885	-251628	-249600	-246387	-246387	-256684	-253246	-249401	-246942	-246942	-243475	-240699	-238789	-236056	-236056	-232887	-229428	-228032	-226145	-226145	-222067	-219053	-215642	-217230	-217230	-213194	-208997	-205605	-200828	-200828	-196852	-190356	-180373	-170367	-170367	-160029	-153657	-145487	-137923	-119488	0	0	0	-114880	0	-108987	-88350	-108987
