CAN DOI KE TOAN	 2019	Q4 2019	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Vốn chủ sở hữu ###Owners equity	-136672	-116775	-15286	2650	2461	2381	14140	33211	33639	47952	50575	52206	51952	57097	61788	65777	66211	65779	63602	65821	65634	65914	64696	63618	63968	66540	66755	68320	67910	66134	70268	70170	66465	65935	71822	68886	69183	66772	60752	65179	65065	67168	66880	60045	67329	67791	67791	56308
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	408966	401428	404557	404553	390824	377912	377749	381655	381603	386856	396513	430821	438339	416118	422138	415166	390984	361871	360925	358377	372394	367272	344036	350292	381847	331843	344968	348214	349185	338420	355513	332418	330829	334804	276181



KET QUA KINH DOANH	 2019	Q4 2019	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	3188	2631	59958	85307	10296	49520	13921	14234	10567	16600	153380	34431	18369	59475	41105	155079	57492	35159	25991	36276	104363	49619	30684	13162	10672	201334	80302	48305	48029	24698	220832	64995	47627	70265	37945	234871	73034	70656	55685	35687	238060	82868	49176	64352	41575	302670	127410	279092
Các khoản giảm trừ doanh thu###Deduction revenues	102	0	0	0	0	0	4025	809	0	0	284	268	0	16	0	449	0	0	422	27	56	26	0	30	0	156	151	0	4	0	9883	0	0	9845	37	100	0	0	100	0	44	0	44	0	0	129	46	226
Doanh thu thuần###Net Sales	3086	2631	59958	85307	10296	49520	9896	13425	10567	16600	153097	34164	18369	59459	41105	154630	57492	35159	25569	36249	104307	49593	30684	13131	10672	201179	80151	48305	48024	24698	210949	64995	47627	60420	37908	234771	73034	70656	55585	35687	238015	82868	49131	64352	41575	302541	127364	278866
Giá vốn hàng bán###Cost of goods sold	16691	3479	62892	79368	9279	73729	20765	12285	15909	14879	147527	30447	19257	55822	41674	132146	46602	31697	20883	31803	87432	38387	27629	9900	11191	186185	76879	42599	45268	21808	182798	52323	38027	55740	35726	215555	69033	64563	50447	31632	217788	74993	43423	58967	38290	278764	120215	249350
Lợi nhuận gộp###Gross profit	-13606	-848	-2933	5939	1017	-24208	-10869	1141	-5342	1721	5569	3717	-888	3637	-569	22484	10890	3462	4686	4446	16875	11206	3055	3231	-519	14993	3272	5706	2757	2890	28151	12671	9600	4679	2182	19217	4001	6093	5138	4055	20227	7875	5708	5385	3285	23777	7149	29516
Doanh thu hoạt động tài chính###Financial activities Revenues	22	1	207	255	1710	4230	1936	580	1459	592	3810	1305	737	902	867	6140	2935	1062	1243	900	11542	1660	1950	4302	3631	9380	3147	2211	2598	1424	22576	1646	3762	5728	11440	31965	16516	10159	2979	2856	18886	2615	8966	2543	4763	32189	4828	3187
Chi phí tài chính###Financial Expenses	3950	0	312	5625	549	7408	2501	-1535	5252	1513	5392	1431	1006	1285	816	8084	4071	386	3946	1023	11482	5263	1218	1071	3072	16742	5700	3267	2081	2798	9261	2520	2095	2709	1937	7136	2386	1861	1772	1682	10723	2855	3289	3361	1218	9119	854	10244
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	21	0	0	0	21	477	0	0	477	0	0	0	0	0	0	148	0	6	61	80	740	132	308	133	168	975	335	400	117	123	3536	884	969	851	831	1479	476	422	422	158	1342	323	2335
Chi phí quản lý doanh nghiệp###Managing Expenses	8531	980	12207	7515	1889	18003	7873	3483	3353	3234	16473	3855	3820	5602	3305	16132	6273	1743	3291	3905	15624	6637	2207	3840	3521	22035	3836	3258	10635	5063	25176	6311	8319	5454	5488	27955	13737	5655	4171	4355	20297	6733	3606	5076	4515	25660	6249	16396
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-26065	-1827	-15245	-6946	289	-45410	-19307	-227	-12489	-2456	-12963	-264	-4978	-2824	-3824	4408	3481	2395	-1308	418	1163	966	1574	2560	-3561	-15144	-3249	1084	-7494	-3715	15315	5152	2547	2127	6074	12556	3511	7767	1324	44	6615	427	7358	-932	2156	19844	4551	3727
Thu nhập khác###Other incomes	370	13	915	10465	123	917	522	54	251	18	479	1012	22	0	3	2947	1107	4218	1069	453	8601	5043	1072	41	2446	25463	6491	439	39492	44	2883	1845	270	1	49	2720	467	1453	600	201	4369	436	1236	2625	71	6743	2680	2503
Chi phí khác###Other Expenses	1269	0	3606	1296	332	3702	287	255	2075	186	2719	495	189	1866	169	5996	2802	4431	2204	459	6460	3436	1004	563	1456	7576	4759	904	22451	463	6622	1943	2048	335	2295	3152	939	1362	643	131	2223	379	706	969	44	5872	2318	2062
Lợi nhuận khác###Other profits	-898	13	-2691	9169	-209	-2784	235	-200	-1824	-168	-2240	517	-167	-1866	-166	-3048	-1694	-213	-1135	-6	2141	1607	67	-522	989	17887	1731	-465	17040	-419	-3739	-98	-1778	-334	-2246	-432	-472	91	-43	70	2146	58	530	1656	27	871	362	440
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-26963	-1814	-17936	2223	80	-48194	-19072	-427	-14313	-2623	-15202	254	-5145	-4691	-3990	1360	1787	2182	-2443	411	3305	2573	1641	2038	-2572	2744	-1518	618	9547	-4134	11576	5054	770	1793	3828	12124	3038	7857	1281	114	8760	484	7887	725	2184	20715	4914	4167
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	1954	0	0	0	0	0	0	0	0	0	0	0	1216	1356	5	0	0	2292	0	0	0	0	2	47	208	1302	0	2951	1349	239	437	892	2488	627	1726	4	0	998	173	1052	42	146	3080	1840	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	1954	0	0	0	0	0	0	0	0	0	0	0	1216	1356	5	-223	223	2292	1354	564	0	0	2	47	208	1302	0	2951	1349	239	437	892	2488	627	1726	4	0	998	173	1052	43	146	3080	1840	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-26963	-1814	-17936	269	80	-48194	-19072	-427	-14313	-2623	-15202	254	-5145	-4691	-3990	144	432	2177	-2220	188	1012	1218	1077	1569	-2572	2741	-1565	410	8245	-4134	8626	3704	531	1356	2936	9635	2411	6131	1276	114	7762	311	6835	682	2037	17635	3074	4167
---Cac Chi So Tai Chinh---																																																
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.30	0.30	1.00	0.80	5.10	2.50	2.50	3.10	2.90	6.70	4.90	4.90	7.25	6.21	7.72	4.14	4.14	2.92	3.29	3.86	2.82	2.82	3.76	3.86	4.71	4.71	4.71	5.18	5.36	8.66	14.31	14.31	18.47	25.71	26.93	27.89	27.89	25.21	11.11	9.23	9.57	9.57	15.13	12.48	25.39	0.00	0.00	0.00
