CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	 2015	 2014	 2013
Doanh thu thuần###Net Sales	1185947	1077914	4961316	1629604	1341655	1032521	975362	4314373	1345969	1015809	1058212	890328	3787418	1373269	820419	849848	811921	3624283	1165669	3272935	2825357	2009592
Giá vốn hàng bán###Cost of goods sold	699883	663521	3089821	936631	820688	673774	643029	2977673	932588	690432	763124	593324	2628250	934514	545835	602069	574238	2511936	860702	2373292	2132401	1484178
Lợi nhuận gộp###Gross profit	486064	414393	1871495	692973	520967	358747	332333	1336700	413380	325377	295088	297004	1159168	438756	274584	247779	237683	1112346	304966	899643	692956	525414
Doanh thu hoạt động tài chính###Financial activities Revenues	148605	50649	237894	93809	65973	82912	45960	214976	57783	43161	81411	32715	187387	54844	38707	49105	45265	135361	46704	149929	239235	144759
Chi phí tài chính###Financial Expenses	33523	38056	154984	12605	36285	40210	64228	136144	35154	26154	45625	24922	211982	51462	28001	102598	24600	176113	-119871	108934	70385	60720
Chi phí bán hàng###Selling Expenses	26367	27227	128145	39607	31713	27958	28868	127149	32200	33355	33522	28071	138042	39931	35190	33760	29161	112043	34658	93850	85840	69035
Chi phí quản lý doanh nghiệp###Managing Expenses	81970	82475	410138	201629	86876	92230	70863	356938	116912	82482	84856	71269	349262	138340	72295	81115	65198	296959	103230	303089	257871	219468
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	487824	317279	1422613	533384	432672	284353	217140	941371	290626	227882	216269	206855	661725	267515	177861	83648	168706	672044	334982	624066	518096	320951
Thu nhập khác###Other incomes	5753	5512	24169	12853	5269	2960	3833	20229	4944	6653	3973	5643	62093	4868	7120	46401	3818	29846	21283	47347	16175	18488
Chi phí khác###Other Expenses	2173	1189	4891	16308	453	244	1116	8157	2411	4583	425	1721	8658	2922	4187	521	1106	17234	13780	39704	7315	12373
Lợi nhuận khác###Other profits	3580	4323	19278	-3455	4815	2717	2717	12072	2533	2070	3548	3922	53435	1946	2934	45881	2713	12612	7503	7643	8860	6114
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	491404	321602	1441891	529929	437487	287070	219857	953443	293159	229952	219817	210777	715159	269461	180795	129529	171419	684656	342485	631709	595033	365659
Chi phí thuế TNDN###Corporate Income Tax Expenses	82945	50928	277938	92436	81233	67797	41014	159014	50517	41459	31454	36068	128271	46931	26006	25195	30672	102768	35057	109781	107517	76666
Chi phí thuế TNDN###Corporate Income Tax Expenses	78220	49648	288860	84977	80235	67908	40376	156576	50100	40801	30776	35383	124266	47046	25071	23638	29743	103103	33994	116937	106510	76338
Chi phí thuế TNDN###Corporate Income Tax Expenses	4725	1280	-10922	7459	998	-111	638	2438	416	659	678	685	4005	-115	935	1556	930	-336	1063	-7156	1006	327
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	576252	388250	1672266	610390	530715	317713	250127	1122611	352431	268182	188363	246019	829726	335931	214865	135718	140746	783610	307428	708862	619583	288993
---Cac Chi So Tai Chinh---																						
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	21.40	15.50	17.90	17.90	20.66	19.51	16.26	11.00	11.00	11.08	9.41	13.80	13.54	13.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
