CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	640793	477814	354753	375234	323250	343037	531252	575868	575659	637780	673366	588774	494639	506636	645068	493453	793588	158619	160247	76662	74878	87170	92289	79624	41776	39832	21162	20037	20278	16830	14940	8801	10977	11455	12773	12392	14961	13287	13220	13543	12459	12703	12485	12705	13848	14341	18821	18124	18318	12527	15273	14170	10952	10064	12681	14864	6497	9982	12983
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13121	22499	68891	68048	27307	29805	70340	74115	74115	71582	55620	40890	50806	50806	49547	48880	631690	8342	8341	10164	3913	5178	8175	6080	1932	4295	3612	4813	4763	2011	917	823	942	965	749	1329	1558	1532	1532	841	1159	1038	661	661	670	1025	1130	835	834	1601	2840	3034	1810	1810	745	2261	1122	5647	7688
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	455	455	455	427	427	427	427	427	13703	10130	29123	13421	13883	78709	69930	50626	50626	50626	0	500	500	2250	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803
Các khoản phải thu ngắn hạn###Short term Account Receivables	599179	414420	248423	269771	261832	278079	431537	473324	473806	527861	582982	492609	402748	417588	477451	329825	102813	93234	95771	59683	62139	71363	50538	52477	29323	31041	12974	11500	11790	11606	10983	4902	4754	5027	5354	4537	5884	4567	4500	4665	4135	5211	5216	5440	5463	5386	6245	6385	6385	7391	10115	8808	6464	6442	7229	7032	2846	2572	3391
Hàng tồn kho###Inventory	8472	10417	12668	12607	11851	12625	11716	11540	11540	10150	9883	11751	12519	12519	26788	28506	1785	1221	1052	947	2167	1877	23027	13181	1689	1777	1895	2005	2005	2032	2089	2210	2220	2220	3339	3416	3453	3321	3321	4913	4855	4870	4920	4915	5068	5586	9355	10359	10226	1431	1276	768	1537	638	595	618	608	509	490
Tài sản ngắn hạn khác###Other Current Assets	20020	30023	24316	24353	21833	22101	17232	16463	15772	14484	14750	14402	15144	11840	12573	16312	6674	5196	4457	5868	6159	8252	8299	7886	5333	2719	2681	1719	1720	1180	951	867	3060	3244	3330	3110	4066	3866	3866	3124	2309	1583	1689	1689	2647	2344	2090	545	873	2104	1042	1560	1140	1173	4112	4953	1921	1254	611
Tài sản dài hạn###Non-current Assets	1552042	1796270	1787163	1772766	1727525	1699686	1315163	1273845	1274433	1217272	1103235	1096879	1111609	1111199	1053081	1070441	301238	257770	258901	310113	301609	297334	300603	299692	187456	172325	174626	174004	172687	170377	172480	180066	176889	176638	176077	177122	186567	188434	190385	192669	192887	193332	192690	193151	191005	190278	178006	172466	172466	194667	188064	187168	187507	187507	193063	192131	217259	207479	121484
Các khoản phải thu dài hạn###Long term Account Receivable	21652	35356	44075	29455	42825	45376	48585	34933	34933	24064	23895	51500	63518	63667	15874	12018	4348	4378	4378	9878	4383	5205	5149	4316	5551	4342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1033317	1236851	1221785	1221291	1203335	1207031	957584	939466	939550	919099	794258	793696	790663	790701	795607	816300	209725	201317	201317	176750	173790	170484	171624	174088	100092	101106	102428	127768	102071	103068	104186	105304	132004	132004	132641	139182	140087	110282	160802	162514	162528	161926	114481	159912	163201	155868	142579	119088	135918	157371	149997	149742	149091	149091	155661	155373	153043	136506	111489
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-423099	-461944	-528411	-528753	-510850	-490047	-432399	-415590	-415367	-399291	-387064	-377588	-369791	-369753	-360246	-359109	-58667	-56375	-56375	-62582	-60718	-59125	-59293	-59439	-44985	-44272	-43630	-42917	-42917	-42182	-42763	-42076	-41340	-41340	-40677	-39965	-42049	-41312	-41312	-40972	-40206	-39445	-38946	-38946	-38537	-38422	-37663	-36883	-36883	-36062	-35779	-35023	-34219	-34219	-35726	-34873	-33157	-29751	-26041
