CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	6593076	6066634	5943854	5943942	5469695	5372357	4931622	5172047	5172047	5360728	4996746	5254389	5017088	5017088	5727455	5742834	5633168	5815897	5815897	6842362	7170772	7350055	8082321	8092915	7909142	7405059	7810360	7200753	7199873	7823927	7258711	7712310	7515223	7491012	8100355	8041931	7968493	7203996	7203996	7366224	7641853	7299501	6041066	6049339	5863557	5432150	5613789	4825585	4839144	4323917	4593084	4596998	3866941	3866587	3862740	4329046	3750683	2692502	2879444	3608857	3194478	2914860	2467577	2467577	4195144	3628665	3299697	2072505
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3311167	2929192	2976952	2976952	2329976	2299940	1717605	1716919	1716919	2038572	1730540	1913207	2361888	2361888	2935707	2886357	3717934	4098557	4098557	4923261	5143439	4995681	5690048	5380048	5023258	5327393	5824214	5078300	5078300	4959192	3798920	4106930	4032386	4032386	4820448	5910905	6204945	5629376	5629376	5669281	5891279	5604434	4070457	4070457	4624232	4402384	4371435	3748457	3748457	3407600	3528972	3157870	2906125	2995771	2686229	3098955	1976849	942714	942714	186050	1116251	420078	1972352	472352	3583499	1523100	1717986	190781
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1145000	1095000	1035000	1035000	935000	815000	865000	955000	955000	870000	870000	975000	895000	895000	795000	575000	35000	55000	55000	85000	105000	150000	80950	390950	380850	75000	76245	77119	76245	578053	1473053	1735735	1734861	1734861	1186669	336669	59477	62077	62077	243385	242106	179600	202000	202000	30000	60000	57000	58500	58500	53500	145603	25603	115000	25000	25000	0	0	0	0	740000	0	1400000	0	1500000	0	1403000	900000	1330000
Các khoản phải thu ngắn hạn###Short term Account Receivables	438380	418826	289372	289406	309173	349153	465900	520579	520546	473927	419499	345585	256516	256516	569398	550951	478357	512570	512365	808206	829845	818282	821016	838286	992191	612741	482014	406077	404398	550334	375837	325861	246098	246098	386661	371572	351787	193728	193728	280770	411212	416900	464355	466508	265024	302913	287267	249942	263501	144355	163229	167148	191371	183796	235612	379956	450138	573161	756081	109306	96297	242656	59503	59503	121279	136354	402486	50887
Hàng tồn kho###Inventory	1407011	1332988	1350639	1350639	1618715	1615792	1538479	1662663	1662663	1688517	1678974	1718773	1222968	1222968	1160698	1482134	1133170	923155	923155	895942	951022	1241575	1365360	1365360	1386619	1250230	1285456	1491901	1491901	1509220	1412069	1374193	1340683	1340683	1562870	1316854	1203533	1171461	1171461	1060379	963855	943919	1160377	1166497	761432	564479	708307	671349	671349	646650	692801	1164191	569253	569253	717995	791112	1262741	1111309	1111728	2493030	1940690	828850	400698	400698	475306	561282	248086	481400
Tài sản ngắn hạn khác###Other Current Assets	291518	290628	291891	291945	276831	292473	344639	316885	316919	289710	297734	301824	280715	280715	266652	248393	268706	226614	226820	129954	141466	144517	124946	118272	126224	139695	142430	147356	149029	227128	198830	169592	161195	136983	143707	105932	148751	147353	147353	112409	133400	154648	143877	143877	182869	102375	189781	97337	97337	71811	62479	82186	85191	92767	197904	59023	60956	65319	68921	80471	41239	23275	35024	35024	15060	4927	31140	19437
Tài sản dài hạn###Non-current Assets	5234789	5371700	5496454	5496454	5600346	5726188	5835823	5962210	5962210	6265446	6036613	6104103	5247017	5247017	4873621	4694128	4408487	3752732	3752718	3317548	3207717	2881202	2836859	2769254	2705279	2753800	2761989	2910258	2910580	2941212	3092077	3175417	3290088	3305220	3275090	3320367	3361072	3376516	3376257	3255684	3265772	3241105	3254097	3320835	3236495	3234905	2630707	2592991	2592991	2523413	2319726	2391251	2484261	2484856	2284593	2006903	2230289	2499870	2337493	2486876	2756289	3012570	3270970	3273740	3663495	3885733	3366059	4510185
Các khoản phải thu dài hạn###Long term Account Receivable	668	668	658	658	853	853	853	858	858	1313	1437	1445	2042	2042	2062	2105	2110	2068	2068	2058	2038	2029	22283	22283	19237	19227	1750	1750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
Tài sản cố định ###Fixed assets	4529089	4657607	4790658	4790658	4919152	5050227	5160497	5313225	5313225	5585299	4050671	4156985	1834694	1834694	1811427	1839387	1883231	1910477	1910477	1945102	2010741	1760110	1853676	1853676	1882673	1942363	1993550	2048617	2048617	2041451	2090994	2131456	2368444	2368444	2326734	2362008	2356391	1940625	2371392	2367029	2320206	2273080	1932424	2230293	2203496	2204083	1795041	995187	1397554	1626404	1455799	1587175	1723753	1723522	1577914	1441061	1645243	1899295	1899295	2038170	2283886	2517903	2780644	2780644	3137626	3387433	3323245	4495227
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-7958801	-7828276	-7697108	-7697108	-7586675	-7452927	-7350965	-7200572	-7200572	-7054248	-6888848	-6745065	-6699159	-6699159	-6677391	-6637335	-6595194	-6556501	-6556501	-6511842	-6444263	-6414704	-6374816	-6374816	-6365488	-6310840	-6251336	-6192610	-6192610	-6126383	-6070561	-6012621	-5955640	-5955640	-5894226	-5843765	-5817073	-5765918	-5765918	-5712131	-5670608	-5621055	-5573674	-5573674	-5523748	-5482740	-5452554	-5404966	-5404966	-5369023	-5199378	-4969556	-4740706	-4740706	-4512789	-4260294	-3995915	-3731923	-3731923	-3467607	-3205756	-2943948	-2683062	-2683062	-2332306	0	-2043770	0
