CAN DOI KE TOAN	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Tài sản ngắn hạn###Current Assets	6575743	4386210	3728958	3729258	3431446	3746795	3281161	2804131	2804131	1753535	1617857	2060549	1547280	1547280	1403912	1539023	1698970	1396748	1387345	1180235	1812222	2111684	1454281	1463193	1236103	571620	740866	752872	769763	857595	1136122	1156025	618030	609215	733415	649898	631713	532632	532632	345979	306621	396884	277754	271613	363982	423688	494681	362065	363458	356763	356211	352621	329832	329832	268433	224452
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	753424	180293	351226	351226	112837	519675	72565	165124	165124	11469	39259	25663	81026	81026	5859	71163	28913	238292	273292	14675	25116	54956	98524	115024	315643	38653	103039	178778	178778	20739	51608	56281	58759	58759	118618	14972	96071	86126	86126	64077	19079	36180	19559	19559	25932	28021	28029	12831	12831	27059	20449	5585	31649	31649	17231	40468
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	554439	195000	195000	195000	131000	131000	61000	61000	61000	16500	82921	18636	212919	212919	15201	31053	228340	44240	9240	0	16500	16500	16500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	1096	1372	1372	21109	77974	144135	175900	175900	142611	100000	100000	147000	147000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	3017696	2436537	2060691	2060991	1840260	1622612	1621961	1732309	1732309	1228782	771464	1078931	537835	537835	623930	552976	529919	698450	690205	599905	544641	508797	285117	294835	436914	304752	236331	234744	251635	261500	203334	257138	254984	246169	222723	230718	145394	241481	241481	159606	153935	128024	90907	84766	121049	132930	153025	92280	96665	100316	81060	101870	85551	85551	119455	119877
Hàng tồn kho###Inventory	2121563	1454523	946193	946193	1213635	1412245	1330463	686774	686774	454180	702567	916272	638754	638754	684857	837130	821817	343666	349082	495739	1117168	1266751	820013	820013	475658	221556	400277	333068	333068	553808	857508	820896	299229	299229	379386	402384	371359	201271	201271	116125	131756	229214	165314	165314	187920	176763	163220	77619	75055	86630	153606	140093	64513	64513	130116	63316
Tài sản ngắn hạn khác###Other Current Assets	128621	119857	175848	175848	133713	61264	195173	158925	158925	42603	21645	21047	76747	76747	74064	46702	89981	72099	65526	69916	108798	264680	234127	233321	7888	6659	1219	6282	6282	21549	23672	21710	5058	5058	12687	1824	18889	3753	3753	6171	1426	2369	601	601	7972	8001	6273	3434	3007	147	1096	5074	1120	1120	1631	791
Tài sản dài hạn###Non-current Assets	5096062	2299409	2299001	2299001	2268910	2226192	2135042	1987089	1987089	707669	810915	782950	796058	796058	760336	785607	810256	797044	809925	776861	760811	690592	653554	644727	535837	518945	515398	528865	511975	498620	387981	360704	397162	397162	406170	380656	353585	352108	356222	371877	361622	322785	320771	326913	336993	362686	295506	307362	303550	255384	250382	249565	259949	259949	281313	275591
Các khoản phải thu dài hạn###Long term Account Receivable	166627	197868	164580	164580	158637	191702	24422	22624	22624	15382	17648	32000	40884	40884	42248	38857	84718	77929	86135	82113	77636	62245	53355	44528	55446	70804	64413	58765	41875	63068	42323	50289	65946	65946	59231	47394	39064	52750	52750	29899	26464	22964	14724	20865	13547	18900	6779	12303	15114	15114	17621	35697	26704	26704	26755	0
Tài sản cố định ###Fixed assets	3094011	1325904	1349182	1349182	1346723	1368450	1423876	1194901	1194901	479053	571741	568090	668866	563778	544213	538930	507947	634685	639360	617933	602354	547311	319278	522039	438183	403896	406733	213387	406501	364807	287987	263508	234085	277480	281025	267403	257245	263750	263750	283845	276649	274794	281993	281993	290629	276253	270086	276448	269826	220814	214046	213142	231239	231239	248070	273546
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-723706	-668502	-637431	-637431	-600723	-566203	-540339	-498719	-498719	-474861	-470379	-457131	-445647	-445647	-434308	-423683	-427154	-403370	-398916	-390998	-387265	-389207	-369234	-369234	-353100	-349621	-344435	-320669	-320669	-305407	-301757	-297979	-272422	-272422	-258580	-257668	-256487	-241178	-241178	-226176	-223744	-221719	-210797	-210797	-194749	-193357	-192215	-176359	-176359	0	-166938	-163182	0	0	-125011	0
