CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Tài sản ngắn hạn###Current Assets	20974738	19577485	18979176	19038081	18431910	17849605	16918516	18406087	18373436	17461655	16757931	15891378	16059938	16053004	21767021	20220920	20264901	21908663	22082043	18913792	17801377	17461659	18959009	19209380	16827486	16240765	16319851	16709157	16961911	14847358	12729372	12668500	12908243	12954621	11269784	11274078	9906638	10229470	10282181	11037975	10787561	10656599	11372728	11410324	10607052	9018714	9283952	8839022	8829078	9004707	8459817	7660727	7678505	8103156	5811411	4905576	4530553	4658263	4743460	4812220	5108073	5220523	4342622	4342622	3154149	3422271	2947791	3074380	3072816	2409677	2020707	2020707
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4180455	3891506	3453389	3457656	3230352	3081007	2678205	3925727	3926316	3982145	4060090	3076144	3480660	3480647	5224203	4577962	4035911	6013361	5530631	4675451	3875543	3429950	3584709	3584709	3015693	2991141	3995054	4336282	4303014	4106773	2392462	3123049	2750971	2487189	2292012	2156012	1928204	2318915	2286185	2793288	2085585	2177152	2902383	2900389	2497687	1785765	1979760	1436128	1518851	1687215	1710798	1335560	2310510	2312096	1646598	938964	906050	1242503	1245514	1156844	1074769	1455136	895515	895515	531231	681283	511180	669452	669452	371226	415058	415058
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	8823220	6943403	6708978	6777899	6305339	5892076	5727896	5568624	5567996	5067136	4866280	4798538	4379446	4379446	3477768	3361116	4208376	3472087	3975682	2907900	2736219	2223028	2617442	2659241	1912646	1243877	899876	1428479	1474755	721522	1169419	861819	1443449	1682449	1204185	1356940	812060	662021	685239	1499491	1590122	879620	861597	860197	760173	751974	338638	563892	365435	1596911	1676550	1021000	619749	617714	160839	0	6370	0	2525	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	5803634	6587706	6536251	6520456	6515912	6452904	5872491	6426946	6424005	5704791	5429555	5709636	6151782	6162179	7317867	6816084	5914800	6640136	6814501	5779937	5342238	4955476	5534209	5720742	5278432	5386006	4906679	4823596	5031916	4731526	4448975	4148977	4411534	4428871	4064950	3895290	3377675	3775642	3833776	3339323	3318012	3521896	3781514	3835502	3461976	3237714	3345693	3248876	3369871	3161609	2764729	2376400	2545551	2844686	2102470	2000043	1922380	1994170	2015312	1662605	2059100	2200183	1849283	1849283	1596637	1623728	1465611	1756845	1761782	1375832	1197395	1197395
Hàng tồn kho###Inventory	1300203	1209840	1284201	1284201	1425172	1508551	1465488	1340687	1340687	1545244	1276158	1181169	1020212	1002295	4394373	4178402	4835068	4553808	4532524	4465073	4693665	5088588	5268100	5278908	4738188	4810243	4837489	4572636	4572636	3982545	3575971	3510656	3328881	3382874	2838444	3007881	3007450	2699509	2706880	2622993	3069364	3361501	3275850	3265652	2725052	2124575	2462211	2448472	2438369	2097788	1854759	2134162	1426043	1560076	1624808	1636788	1428742	1223958	1278336	1800207	1748031	1392258	1428218	1428218	892626	938979	838245	584485	583961	594034	384296	384296
Tài sản ngắn hạn khác###Other Current Assets	867227	945031	996357	997870	955134	915067	1174435	1144103	1114432	1162339	1125848	1125891	1027837	1028438	1352811	1287356	1270747	1229270	1228705	1085431	1153712	1764615	1954549	1965780	1882527	1809498	1680753	1548163	1579590	1304992	1142544	1023998	973408	973238	870193	857956	781249	773383	770100	782879	724478	716429	551384	548583	1162164	1118685	1157650	1141654	1136552	461184	452981	793605	776651	768584	276696	329781	267011	197633	201773	192564	226173	172946	169606	169606	133654	178282	132754	63598	57621	68586	23958	23958
Tài sản dài hạn###Non-current Assets	14938070	14839184	14414988	14620662	13844915	12526152	11829805	11350980	11352494	10619214	9528214	9119542	8939739	8972219	7926686	7824884	7739026	7924599	7830411	7484136	7543128	7233795	7086579	6773825	6849676	6340842	5886210	5949187	5697774	5098385	5037031	4777748	4662314	4663305	4439277	4249319	4152377	3979712	3988284	3654040	3617051	3615992	3570358	3614585	3523556	3428268	3426790	3465522	3673141	3263556	3021945	2762359	2716910	2541576	1654160	1502414	1435541	1466571	1402306	1388192	1373161	1230974	1013430	1013430	630562	446473	361206	334839	335050	295000	198770	198770
Các khoản phải thu dài hạn###Long term Account Receivable	348428	331255	262485	221517	249947	114091	126033	109788	109788	254770	246396	247217	231657	242466	319077	310415	386011	380966	341283	343909	364224	354892	348639	114739	0	0	13420	318096	0	1110	1110	1110	1213	1213	1235	1245	1245	1434	1434	1029	1029	1029	1029	1029	376	376	1673	376	376	126	1321	939	109	772	126	126	5255	0	6230	6104	6131	6240	0	0	0	0	100	315	100	0	194	194
Tài sản cố định ###Fixed assets	7365996	7331929	7492168	7491242	7184933	6913930	6690493	6513736	6513736	5601854	5418767	5189934	5247285	5264443	4905910	4750596	4472327	4589983	4581152	4472559	4485985	4386355	4292253	4331209	4229965	3878759	3456501	3300547	3300547	2785315	2879983	2587606	3075863	3053576	2939621	2798353	2744795	2076666	2617662	2201674	2169559	2159699	1727805	2185959	2090848	2017950	2029943	1677843	2038449	2025801	1877786	1566992	1638512	1324492	1080112	959128	929920	960726	731957	719958	748616	643159	641608	641608	492981	358122	324037	299652	299524	254011	165718	165718
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-5386488	-5125907	-5005800	-4973852	-4837131	-4586432	-4388992	-4264858	-4264253	-4037222	-4021451	-3877802	-3674681	-3676521	-3525566	-3323654	-3990125	-3800729	-3800680	-3567716	-3337412	-3149447	-2965670	-2965282	-2732661	-2628325	-2494228	-2354531	-2354531	-1981995	-2087846	-1983640	-1868835	-1870298	-1761742	-1671122	-1663963	-1589204	-1589204	-1409795	-1418654	-1274708	-1256546	-1187624	-1147070	-1091067	-1017630	-959825	-963852	-899046	-840164	-773205	-702465	-698903	-663600	-611467	-560212	-513515	-509249	-469377	-443073	-393875	-356019	-356019	-297187	-269091	-238214	-204604	-204604	-180398	-116485	0
