CAN DOI KE TOAN	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	241075	245930	245474	245474	256207	264910	413750	295162	419131	422887	430355	434728	434715	435427	450242	451349	462795	489653	464378	471756	465751	447783	438515	416684	420896	392214	394282	395176	448386	467029	430771	458143	430129	433986	436075	420090	418989	362328	364034	367283	423428	276770	229309	232758	193872	123555	105996	109842	110943
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2429	2468	1183	1183	4994	4711	5401	4524	4524	5954	5069	6282	5892	5892	6571	6445	9193	15615	15509	18589	21089	23236	15035	19024	15338	4213	6956	5986	5986	15592	19139	13588	12479	12479	9518	8049	16211	3466	3499	16407	42711	11652	13746	13746	13867	9702	4288	10379	7481
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2003	2503	2003	2003	2003	2885	2885	2885	2975	2975	2975	2975	2975	9837	3644	2976	2993	15900	15900	44132	91882	0	0	0	1500	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	174381	174418	175326	175326	183512	193915	238798	214103	241451	243513	253307	256280	255021	242385	255483	269542	259559	286601	217289	216847	213229	199719	201660	179140	189554	176259	184920	196643	240899	236467	230800	249152	259802	256402	258490	268470	265229	245331	246740	225082	206331	180502	135374	139348	130919	68574	58636	58522	62270
Hàng tồn kho###Inventory	53148	57794	57650	57650	56456	55028	158202	65189	161811	162093	160653	160466	162120	162120	163172	163414	167648	173552	176081	181647	177502	168864	169733	169733	166585	162975	154136	147693	153432	163992	136584	142545	115558	115886	114882	99738	95631	67960	68059	53996	40576	37021	40600	40514	26619	25394	24796	25004	31737
Tài sản ngắn hạn khác###Other Current Assets	9114	9246	9312	9312	9241	9253	9346	9342	9342	9323	9322	9697	9678	23026	23013	9946	24392	11881	53496	52670	51928	53461	50084	46784	47416	45881	45385	41969	45093	48003	41273	49883	39315	39383	49540	40857	38926	29672	29836	27666	41927	47595	39589	39150	20967	19885	18277	15937	9454
Tài sản dài hạn###Non-current Assets	76998	77630	78296	78296	86226	87471	91826	90733	93689	95601	96863	98612	100521	100521	105981	107580	98052	99358	99358	117636	116882	117456	121523	143725	124123	129659	129224	164116	174536	180411	173565	172877	180891	180891	189253	176782	181360	172685	171954	172565	81706	55458	57869	66165	56966	42550	45736	30391	37724
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	86	86	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	25669	25864	26094	26094	27523	28952	33338	31811	34767	36881	38354	40661	42171	42171	43941	45461	47053	48651	48651	52400	52140	54350	87653	87653	90201	95301	94420	70108	141783	145818	141258	148199	120026	155317	157772	144451	145107	126378	142193	139271	66456	44820	48473	57644	41582	36151	36999	24086	32913
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-69902	-69707	-69477	-69477	-68048	-66619	-62233	-63760	-60804	-59146	-57729	-56888	-55337	-54893	-54589	-53161	-51661	-50155	-50155	-48513	-46848	-44762	-43892	-43892	-41481	-42049	-39933	-37683	-39241	-39033	-35809	-39311	-37854	-37854	-34927	-31839	-26629	-23633	-23066	-20529	-15687	-14373	-13119	0	0	0	0	-6697	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	-1019	-963	-907	-1390	-1390	-1299	-1207	-1116	0	-1024	-932	-841	-749	-1247	-1247	-1071	-895	-719	-544	-544	-368	-192	-16	0	0	-2891	-2784	-6584	-6316	-6316	-6350	0	-6843	-6766	0	0	0	0	-6659	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1024	0	0	0	0	0	0	0	0	0	0	-168	-84	0	0	0	0	0	0	0	0	0	-165	-6062	0	0	0	0	0	0	0	0
Lợi thế thương mại	3141	3533	3926	3926	4319	4711	5104	5496	5496	5889	6282	6674	7067	7067	7459	7852	0	8637	8637	9030	9422	9815	0	10208	10600	10993	10993	11778	11385	11778	12171	12563	13348	12956	13348	14134	14526	14919	13196	17199	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9618	9666	9714	9762	32061	9810	9858	9906	42108	0	0	6133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	3890	3890	3890	3890	4033	4033	4033	4033	4033	4033	4033	4033	4033	4033	4033	4033	4033	4033	4033	10030	10030	10030	10030	9933	9890	9890	10190	10190	10330	10330	7530	4290	4290	4290	8600	8400	8250	6150	4650	5264	5168	5173	7064	7064	1800	1800	1800	5640	1500
