CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	739564	717296	854575	854575	995827	1247809	1408984	1151642	1151642	962622	1310154	1151207	1101335	1101926	1341000	1291625	1487038	1231158	1231158	1072551	1154038	1049029	995140	995140	1028478	1004438	1073818	964048	964048	1051352	1002314	1118088	823925	823925	1030161	970762	1045607	786749	786749	1038597	943666	957282	670826	671938	669180	636524	569193	442351	442351	146398	130818	372548	303839	303853	243348	223856	208240	285025	284996	259615	231032	175021	165779	165779	110856	96242	94299	75946	75946	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	40100	49918	40965	40965	11832	31923	31147	27117	27117	21621	128600	70041	107096	107096	71241	35691	39328	22427	22427	18972	54610	118300	101510	101510	241429	132406	185574	209542	209542	208963	135695	168852	183365	183365	330185	298618	381855	273768	273768	328141	223609	162573	158411	158411	216564	157037	89959	29705	29705	3573	5976	133257	140377	90391	8113	64224	61489	103739	103739	21837	21830	29860	81281	81281	46393	25475	8891	2037	2037	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	150000	150000	170000	170000	0	0	0	0	50000	50000	0	0	0	0	105000	85000	80000	30000	30000	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	404124	340691	404656	404656	516853	623629	579227	662385	662385	616135	622572	692745	624417	624417	1004166	781403	904616	658780	658780	718567	805887	668123	575124	575124	651692	586625	637906	486696	486696	637951	680817	619018	443387	443387	513025	447232	500154	348047	348047	482749	478098	402124	225827	225827	174673	150123	137765	104920	104920	65068	55214	83073	91463	91463	72501	64119	66630	88157	88157	67145	63373	37758	24412	24412	32061	52813	59711	48738	48738	0
Hàng tồn kho###Inventory	268697	298136	371912	371912	425688	537506	723664	415827	415827	299333	520370	336777	319679	319679	232624	426971	486942	487065	487065	292205	253080	221752	281282	281282	114849	254746	223153	241254	241254	187602	168862	295984	183142	183142	172594	200982	152875	156650	156650	214249	225915	365345	267809	267809	165447	165697	175478	125628	125628	76559	69134	144871	69289	69289	98078	81345	65619	89354	89324	62389	58366	26502	28564	28564	30276	17090	24812	23907	23907	0
Tài sản ngắn hạn khác###Other Current Assets	26644	28552	37043	37043	41453	54752	74946	46314	46314	25533	38612	51645	50143	50734	32970	47560	56153	62887	62887	42808	40462	40854	37224	37224	20508	30660	27184	26557	26557	16836	16940	34235	14031	14031	14357	23930	10722	8285	8285	13459	16044	27241	18778	19890	12496	13666	15990	12098	12098	1198	494	11347	2710	2710	14656	14169	14501	3775	3775	3243	2463	901	1522	1522	2125	864	884	1264	1264	0
Tài sản dài hạn###Non-current Assets	274130	276118	278874	278874	287876	286315	284183	279596	279596	273346	269944	547930	562054	562054	512819	452191	427345	415292	415292	370339	317004	295057	291683	291683	262116	245697	227370	245136	245136	198613	205591	221618	137097	137097	159053	185774	201458	233301	233301	252710	277513	483250	137769	137769	148581	158453	166529	181101	181101	7943	8395	208205	210899	210899	224909	228560	236264	18789	18789	7551	7838	7112	7514	7514	7527	7511	8023	8447	8447	0
Các khoản phải thu dài hạn###Long term Account Receivable	70	70	70	70	70	70	70	70	70	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	25878	26503	27278	27278	28055	27941	28023	28727	28727	27996	80058	29812	28405	28405	12617	3745	3877	3324	3324	1815	1871	1998	2099	2099	2192	13623	26984	232461	40572	54209	67830	212492	127279	127279	147965	173700	199564	213532	225368	251258	276108	483236	124333	134689	147637	157545	166450	174829	179986	7618	7999	208051	209867	209867	223922	228084	235828	18357	18357	7246	7576	6850	7185	7185	7224	7220	7800	7923	7923	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-26077	-25425	-24768	-24768	-24868	-24178	-23589	-23004	-23004	-23854	-22797	-21768	-20733	-20733	-20120	-202893	-202718	-419453	-419453	-419489	-419365	-419238	-419107	-419107	-418978	-407547	-394186	-380598	-380598	-371834	-358213	-342150	-316327	-316327	-294136	-271467	-245714	-219782	-219782	-193869	-167780	-142225	-127422	-127422	-114109	-101157	-91740	-75793	-75793	-9129	-8826	-49004	-44027	-44027	0	0	0	-16679	0	0	0	0	-17888	0	-17137	0	-16191	-15448	-15448	0
