CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011
Tài sản ngắn hạn###Current Assets	1946576	2051980	1966095	1866113	2096821	1992655	2248361	2053060	2043743	1801149	1845205	1675278	583346	655415	710706	667774	888766	845253	803132	520233	497123	297523	226624	212347	349848	230697	220355	214715	214715	254437	210915	95556	90694	90694	10609	10609	9822	9822
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	25821	19602	4509	4509	16232	16748	19746	29789	29726	17786	13987	25844	33404	22736	26166	92828	76045	61167	53214	45677	40415	19609	23781	23781	16449	18153	11875	15956	15956	13088	3892	4595	85	85	608	608	3600	3600
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	50450	30450	30450	30450	34450	8450	12250	12250	12250	12250	7650	13439	7939	18639	4789	11902	7462	2748	2748	2689	3697	3697	1949	1949	289	289	789	55867	55867	98306	92721	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1654428	1710963	1674275	1569952	1968236	1799527	2034574	1809149	1772758	1561096	1632272	1438665	394220	510068	595262	491754	726767	621651	588223	394653	341356	199984	127492	113215	301163	183200	181718	120229	120229	120982	105588	82898	87689	87689	5868	5868	5835	5835
Hàng tồn kho###Inventory	203882	270161	237433	236260	75593	153994	163876	177855	205048	177619	155936	166519	120981	92341	76388	65077	70514	149065	148480	75915	106120	72932	70203	70203	31720	28655	25517	15450	15450	18128	4621	4861	20	20	1229	1229	386	386
Tài sản ngắn hạn khác###Other Current Assets	11994	20804	19428	24942	2310	13936	17914	24016	23961	32398	35360	30812	26803	11631	8101	6213	7978	10621	10468	1299	5535	1302	3199	3199	228	401	456	7214	7214	3934	4094	3201	2900	2900	2904	2904	1	1
Tài sản dài hạn###Non-current Assets	758330	747345	753362	857974	588405	595588	485468	506840	567173	557348	540338	624289	612218	574120	536559	502663	541350	460353	524598	467247	476142	296780	278800	293318	285648	239030	242166	246154	246154	274906	281131	264496	813	813	848	848	1714	1714
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	98535	98535	98535	0	0	62000	62000	62000	94877	92813	63263	62000	62779	72779	62779	779	779	68962	995	1767	16000	1767	1767	537	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	252408	238632	242432	240892	239814	245341	193424	192793	192793	194551	189733	187920	176351	176351	98337	60615	47925	7039	7039	3960	4226	4548	4770	4770	5050	5225	4386	40593	4378	4577	5367	1758	608	608	839	839	1129	1682
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-68407	-60446	-53553	-53503	-47621	-40504	-32456	-27087	-27087	-22006	-17276	-15988	-11666	-11666	-8261	-6301	-4832	-4052	-4052	-1688	-3517	-3195	-2964	-2964	-2684	-2410	-2162	-1963	-1963	-1846	-2356	-2573	-935	-935	-787	-787	-497	-497
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
