CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007
Tài sản ngắn hạn###Current Assets	19923	19945	90959	90955	158373	158510	159120	159239	159239	165755	244444	241240	243600	243600	233820	165814	163444	163535	133017	83277	88162	74848	74848	74249	38917	26014	51549	51549	51550	20097	21564	22075	20097	20025	16838	17133	18557	17430	17432	17426	16878	16348	15863	15700	16074	16227	19361	19361	19330	19330	9719	9719	389	389
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1102	1390	866	866	1430	1567	2215	2369	2369	2359	4620	5422	106743	106743	78836	973	998	1466	914	461	893	389	389	389	46	396	91	91	91	117	119	41	117	117	19	536	401	350	350	167	111	48	81	81	103	51	105	105	351	351	149	149	320	320
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	400	400	400	400	400	400	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	8679	8415	79209	79200	146143	146143	146140	146140	146140	153601	220357	220515	120007	120007	139530	150183	150131	149997	119840	62619	71818	50976	50976	48810	23253	11473	36692	38805	36369	6742	6517	7582	6742	6677	4483	4813	7024	6203	6190	4842	4754	4969	5082	5077	6729	7680	11168	11168	2350	2350	404	404	0	0
Hàng tồn kho###Inventory	9865	9926	10662	10662	10746	10746	10712	10677	10677	9533	17362	12779	12425	12425	14612	13555	12231	11996	12172	15642	15297	22589	22589	22589	13674	14010	12451	12451	12451	8396	10935	9564	8396	8392	7844	7840	7549	7506	7506	7882	8069	7536	6971	6971	5718	5469	5747	5747	12420	12420	8458	8458	62	62
Tài sản ngắn hạn khác###Other Current Assets	277	215	222	227	54	54	53	52	52	263	2105	2523	4425	4425	841	1104	84	76	92	4554	154	893	893	2460	1943	135	2315	202	2239	4441	3594	4488	4441	4439	4091	3545	3583	3370	3386	4536	3944	3795	3729	3571	3524	3028	2340	2340	4208	4208	708	708	7	7
Tài sản dài hạn###Non-current Assets	216429	217500	132256	132336	71700	71719	71767	71817	71817	70149	8900	9027	8976	8976	8960	86595	86576	86673	117096	178735	178712	187915	187915	187960	191669	191722	192833	192833	192757	23544	23360	23463	23544	22829	21645	22473	22586	22691	22691	22785	22881	22984	23117	23117	24839	24937	25029	25029	9581	9581	344	344	0	0
Các khoản phải thu dài hạn###Long term Account Receivable	232	725	309	309	77	77	77	77	77	0	77	77	77	77	77	77	77	77	77	77	77	76	77	0	0	170078	0	182338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	199	213	227	227	23	35	39	43	43	46	1223	1263	1304	1304	1344	1385	1425	1466	1466	1506	1465	0	0	0	749	794	10364	10364	10364	11137	10855	11066	11137	10422	9326	10164	10268	10339	10339	10424	10509	10594	10680	10680	10743	10826	10993	10993	489	489	278	278	0	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-78	-64	-50	-50	-54	-43	-39	-35	-35	-31	-320	-280	-239	-239	-199	-158	-118	-77	-77	-37	0	0	0	0	-545	-545	-1106	-1106	-1106	-519	-706	-615	-519	-546	-439	-981	-972	-888	-888	-804	-719	-633	-548	-548	-463	-381	-214	-214	-104	-104	-32	-32	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-351	-306	-214	-214	-214	-28	-122	-76	-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
