CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q2 2014	 2013	 2012	 2011
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734	734	734	0	0	10	10
Vốn chủ sở hữu ###Owners equity	1154036	1152654	1153439	1148037	1138743	1101285	1175690	1188838	1189178	1253772	1195317	1253574	1220853	1222146	1272455	1200207	1184346	1127653	1126916	1153280	1048901	1121588	1107404	1107886	1032594	951111	991921	841708	1004907	763114	669113	633188	541597
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163200	0	0	116091	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q2 2014	Q1 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1698068	899916	6228490	1600099	1565506	2036897	1025988	6500450	1432020	1689420	2045196	1357344	6427842	1573568	1581070	2086249	1187354	6061543	1489217	1486251	2072974	1014480	6100180	1442608	1582952	2044277	1084105	6426257	2195065	1259927	6638195	7471534	6267402
Các khoản giảm trừ doanh thu###Deduction revenues	42803	11846	96059	33472	21521	27219	13847	118561	32996	28550	41353	15663	122002	46347	25431	35416	14721	118625	39009	21771	35823	22023	62296	24633	13911	16065	7688	49032	28962	5036	53086	48567	33962
Doanh thu thuần###Net Sales	1655266	888070	6132432	1566628	1543985	2009678	1012141	6381889	1399025	1660871	2003843	1341681	6305840	1527221	1555640	2050833	1172633	5942917	1450208	1464480	2037152	992457	6037884	1417975	1569041	2028212	1076417	6377225	2166103	1254891	6585110	7422968	6233440
Giá vốn hàng bán###Cost of goods sold	1422524	779930	5396605	1337806	1332625	1813539	913042	5542136	1239373	1433821	1724879	1168937	5295535	1254526	1328241	1722303	1000308	5038820	1208367	1219965	1740984	866683	5278378	1219350	1374583	1783372	952587	5696732	1955759	1136637	5887220	6869767	5796876
