CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	46253	54223	55833	55833	66140	62890	99848	109833	146181	155402	165653	171614	183192	201166	215754	235960	294606	310397	334165	300710	225501	268932	317000	317466	387551	69144	95941	84607	883723	846049	723204	756398	751322	746692	736495	731227	725307	690469	701063	697538	697516	747268	720219	721881	721660	689745	653236	619555	622008	564645	534855	491112	464805	399641	322096	234643
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	426	446	681	681	469	588	946	808	808	650	8544	2435	1610	1610	2958	3592	1653	2334	2334	2164	3525	3461	27857	27857	24693	2488	2682	3784	3784	7432	7446	2808	10414	10414	5428	5774	2148	2442	2442	1137	2870	4207	7585	7585	6301	9554	3171	5752	5752	10105	6082	15600	7876	25586	43688	2515
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	257	748	681	737	924	896	830	948	1331	1656	6677	4160	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	8331	22683	26756	26756	29369	27426	64408	76047	111434	109150	113248	107597	119658	137633	149246	155187	213974	242870	272277	249769	190262	224638	257935	258935	324788	45517	70556	53267	419882	379893	256112	231972	222126	221973	227286	231890	252082	267655	278449	279337	283081	290638	284848	284736	309736	309637	278456	327148	329499	327042	286883	237403	231609	182324	88773	27125
Hàng tồn kho###Inventory	15384	15384	15384	15384	23763	23640	23416	22183	22183	34783	33847	50424	42760	42760	44008	59416	62599	50812	50812	41043	25888	26457	19792	19792	29078	14812	13231	15912	406076	411240	415271	472857	471489	468652	457083	446210	425536	398425	397850	387373	383943	408675	387754	389142	357504	352758	314426	261924	262073	177356	186301	181909	185657	145185	178407	185938
Tài sản ngắn hạn khác###Other Current Assets	22113	15711	13012	13012	12539	11236	11078	10795	11756	10819	10013	11158	19163	19163	19543	17765	16380	14380	8741	7734	5826	14376	11415	10882	8992	6327	9472	11644	53982	47483	44375	48761	47294	45654	46697	47353	45541	21947	22322	29691	27622	43748	39775	40162	47371	17115	56446	23807	23787	49312	54641	54869	38007	39870	7068	19066
Tài sản dài hạn###Non-current Assets	279178	352019	379384	379384	459326	479153	513713	522658	546768	599568	602905	641245	640148	656851	695431	693077	687560	697623	713695	960414	1012553	1086923	981421	983868	992839	972222	851485	800590	25396	23965	23409	20284	26046	26161	31047	37587	33596	37295	38064	38768	40223	45579	48122	48271	51103	52101	50763	58836	58792	63791	64033	65824	54527	44595	56132	18892
Các khoản phải thu dài hạn###Long term Account Receivable	30625	86874	111667	111667	155380	203232	221334	234123	258142	309968	315575	344000	342542	359163	411571	417493	411836	426759	463339	586532	620321	619058	534211	536658	575070	574326	432911	412107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	5465	6285	6692	6692	7099	9851	10350	10788	10788	12417	13005	18293	19440	19521	20366	20767	21507	22248	22248	24471	38030	39735	41147	41147	38842	26098	22992	14701	14708	13758	13583	13076	13813	13813	19009	23187	26320	29595	30170	30846	31953	36997	40246	40246	41346	42415	41284	40732	42219	46314	46906	46355	39360	34727	51472	18713
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-7607	-9068	-8661	-8661	-8352	-8060	-7962	-7523	-7523	-10929	-10340	-11456	-11180	-11044	-11561	-10811	-10243	-9502	-9502	-9606	-11462	-10840	-9275	-9275	-7837	-7014	-6193	-5654	-5593	-5236	-5265	-4974	-5413	-5413	-8767	-9825	-10133	-11615	-11040	-10883	-10239	-11182	-10496	-10496	-9543	-8465	-7391	-6341	-6341	-6154	-4991	-3911	-3071	-1638	-7888	-9437
