CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	769027	746008	660019	658934	669253	689670	632055	615451	618457	666991	605237	567970	537111	535435	505238	522602	517448	500544	500528	471901	422544	373572	465633	465013	444500	482166	431284	521088	518270	530915	567044	526520	510957	445270	425483	373482	318746	316418	315890	337558	281726	373405	396382	398943	329791	286513	182823	182823	68495	68495	29804	29804	11189
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	391335	370983	377382	377382	366043	303222	329326	348194	348194	322894	264721	287130	279880	279880	229612	242787	276343	342673	342673	299746	265230	211451	281711	281711	248797	283452	212679	288735	288735	306782	352764	253684	249842	249842	208298	192588	115055	85305	85305	129718	113204	168889	179294	179294	131577	75312	92714	92714	36054	36054	14590	14590	11017
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	33900	33900	33900	33900	33900	0	0	0	0	0	13000	13000	13000	13000	53000	40000	40000	0	0	60000	65000	5000	12000	7000	35100	55100	55100	30100	15100	62550	62550	63100	79600	63100	6100	6100	7000	7000	10000	10000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	349149	342621	252483	251941	272671	356883	250807	197371	197592	277059	274690	219702	169607	171932	206151	205379	173313	106086	106070	142265	125630	129892	135602	134982	160073	165331	145353	157495	157488	201959	185179	182659	168577	162890	178693	147730	141425	152125	152125	153210	134617	120957	136600	138330	109888	135508	78715	78715	24968	24968	4013	4013	0
Hàng tồn kho###Inventory	23274	24397	23236	22691	28691	25385	41979	55480	58264	64229	61260	50411	47490	43490	32555	35438	25635	42038	42038	25576	25561	24896	26447	26447	17732	14126	13643	21932	21932	18567	16740	22329	23173	23173	21962	21275	21462	21501	21501	21934	16354	16344	10006	10006	7311	7867	4802	4802	372	372	169	169	5
Tài sản ngắn hạn khác###Other Current Assets	5269	8007	6919	6920	1848	4179	9943	14407	14407	2808	4566	10728	6233	6233	3020	5099	8257	9746	9746	4314	6123	7333	8873	8873	4899	6257	6608	12926	10115	3608	12362	7847	4366	4366	4530	4889	5703	2387	1859	2597	2452	4664	7933	8214	1414	4725	491	491	100	100	1033	1033	167
Tài sản dài hạn###Non-current Assets	162142	167097	178625	179147	190622	194638	210202	220003	223722	182896	175395	185958	192848	192848	181180	172662	177345	149367	147205	162201	178895	191281	178163	178659	194416	167674	115874	120434	121503	135331	105574	102217	117186	199615	212073	237922	272084	307314	307314	284619	310873	281577	308892	308892	303151	312300	176754	176754	105392	105392	67616	67616	1465
Các khoản phải thu dài hạn###Long term Account Receivable	280	280	258	780	994	994	1696	1696	1696	1927	1927	1927	1927	1927	1927	1927	1927	1927	1927	1927	1927	936	936	936	936	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	145635	149958	161338	161338	170705	182354	183330	191414	191414	152879	151001	161492	171465	171465	169677	160448	171439	142672	142672	155991	171789	183935	170817	170817	177420	148260	103818	112455	109823	120383	95410	84936	97487	119916	132374	158223	192385	219836	225198	208553	234806	265510	290994	292344	284896	298739	157916	176517	104474	104474	66223	66223	1337
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-720584	-709365	-701507	-701507	-693207	-679949	-666481	-657009	-657009	-644234	-632988	-622740	-612754	-612754	-602079	-590531	-579826	-569099	-569099	-553876	-538104	-522608	-509062	-509062	-490145	-472299	-459394	-445118	-445118	-386982	-372082	-357880	-337134	-337134	-308645	-278391	-249143	-219221	-219221	-190550	-164672	-136489	-113014	-113014	-76299	-52820	-30634	-30634	-10264	-10264	-2311	-2311	-46
