CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	Q4 2008	 2007	Q4 2007
Tài sản ngắn hạn###Current Assets	346794	346585	370462	392214	380805	380248	373279	405000	434737	367926	404313	418596	426649	426452	390384	379229	366924	384338	381741	365212	333204	351449	379176	378462	313824	308898	350414	326459	323515	312893	388410	278040	312366	314558	306692	328406	260188	276601	277050	262046	235693	180970	196167	196167	195498	157091	146824	162885	162564	143527	119207	119421	143098	143098	105050	105050	0	143098
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3495	2650	5151	5151	8517	9442	8704	14033	14033	17675	7681	2871	5193	5193	7821	7028	16176	3668	3668	6952	10211	18807	57809	57809	5446	9256	1773	14747	14747	8289	21470	13181	12133	12130	25355	41326	25105	32549	32549	22487	49471	534	6087	6087	1257	894	7426	11187	11187	2972	857	3831	7393	7393	2707	2707	0	7393
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	1957	2957	2957	2957	2957	2957	17957	17957	17957	12957	0	0	0	0	0	0	35962	19261	19261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	108864	107134	121821	122540	172968	162294	172887	190057	219720	187070	218213	242510	255287	255287	211552	197265	195429	220324	221749	192072	178089	169691	165016	166056	171619	172117	177061	184754	182019	172293	216620	146201	200142	202502	134114	150790	122200	141258	140146	125971	80494	84420	98347	98347	67818	66160	67453	106359	111687	52181	55285	45439	77413	77413	68102	68102	50630	77413
Hàng tồn kho###Inventory	234426	236792	243481	264223	199320	208502	191687	200910	200984	163181	178419	173216	165971	165971	171011	172979	152363	157389	153366	163230	141947	144994	138394	136640	123801	127338	153332	126951	113325	113052	139262	66890	71266	71105	135186	126136	107045	97747	99304	104174	101786	90733	89710	89710	122463	84163	59364	40557	34908	81376	56913	62939	52770	52770	26745	26745	0	52770
Tài sản ngắn hạn khác###Other Current Assets	10	10	10	0	0	10	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	186	18248	8	13423	19259	11059	15805	9564	9560	12037	10154	5838	5047	5051	9413	3944	5283	2023	2023	3960	5875	12581	4782	4782	6998	6152	7212	5522	5522	7496	7496	0	5522
Tài sản dài hạn###Non-current Assets	67704	69379	71249	70949	72617	75016	79084	82104	82277	88004	89262	92854	94700	94700	100759	103674	104558	104100	104290	105411	105322	108054	111557	111430	124261	122655	111817	124766	114119	116162	118188	120154	121762	121753	122341	125291	127567	129819	129819	130525	132260	134026	135892	135545	136251	136931	135393	137324	137366	139283	139805	144077	143305	143305	146404	146404	0	143305
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	65368	66836	68329	68329	69606	71119	72680	74282	74282	77511	77473	79280	81126	81126	83003	84881	86780	88698	85386	88839	89069	90578	95906	92310	105323	106770	108031	110083	110083	112126	114210	120134	121742	121733	121908	124067	127135	127477	129386	129931	131734	133432	134690	135095	135802	136481	134943	136337	136874	138555	139077	143349	142577	142577	146248	146248	0	142577
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-106959	-105492	-103998	-103998	-102491	-100978	-99417	-97546	-97546	-94195	-94195	-92404	-90575	-90575	-88716	-86855	-84973	-83073	-82128	-78641	-78428	-76570	-75376	-74715	-78757	-76698	-74655	-72603	-72603	-70351	-68267	-66153	-64014	-64014	-61834	-59652	-60601	-58329	-57130	-56027	-53710	-51428	-49158	-49158	-46894	-44760	-43291	-41133	-41133	-38987	-37050	-32625	-32625	-32625	-26327	-26327	0	-32625
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	-691	0	0	0	-268	-268	-233	-233	-216	-199	-199	-181	-164	-147	-129	-129	-112	-95	-78	-60	-60	-43	-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
