CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	57928	58939	59068	59068	61430	62845	73020	78922	78922	73312	73389	76322	89125	89125	97824	185808	189336	211830	211830	231785	297112	271661	416287	416287	487361	587862	612075	868587	940644	1013468	1523988	1523988	1677159	1904403	1812188	1812188	1705030	1692124	1902856	2146325	2146325	2146325	1839707	1463300	1355006	1766704	1765569	1455595	1143143	1009118	1232174	1232174	1127688	1241765	779107	714607	771424	727621	724989	501348	459614	278821	305197
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	939	922	974	974	787	1160	542	469	469	672	804	521	401	401	3163	539	753	493	493	1241	1073	978	656	656	13442	81832	81017	2831	69963	62099	95083	95083	59912	62946	48528	48528	65698	27090	144130	157503	157503	157503	63953	84460	76967	94041	88679	138534	113581	124204	82925	82925	74342	123435	73516	21569	21389	30111	60597	27627	31414	19541	22357
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	4	4	4	1	1	2	2	2	2	2	3	3	4	4	4	4	17	17	17	10017	16743	15730	16586	16586	16586	19586	19186	25186	19186	29686	56	2	3410	3126	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	46192	47073	46404	46404	47704	47630	58243	64112	64112	57800	59968	63467	73920	73920	80947	171911	175593	194038	194038	213282	275076	251968	379485	379485	453131	485193	499050	672060	486406	449513	650482	650482	643175	563378	834233	834233	1014844	671125	820135	1002284	1002284	1002284	1008206	692200	458469	756575	756177	621161	516841	328653	493883	493883	530538	712339	405905	311891	313001	291980	224266	227549	181940	123466	113030
Hàng tồn kho###Inventory	4146	4315	4315	4315	5384	6339	6352	6353	6353	6861	4661	4660	7652	7652	7655	7868	7985	12498	12498	12810	16993	15082	18294	18294	13374	17041	27187	176197	372209	500430	776677	776677	971841	1268843	899868	899868	622186	976637	918391	951410	951410	951410	722463	653022	767372	851563	849024	653795	470179	489915	595014	595014	473074	358850	246710	319588	380643	378954	411404	224685	224965	125396	159779
Tài sản ngắn hạn khác###Other Current Assets	6647	6625	7370	7370	7552	7712	7879	7985	7985	7976	7951	7669	7149	7149	6055	5486	5000	4797	4797	4448	3967	3630	17849	17849	7410	3793	4817	17495	12062	1422	1744	1744	2229	9234	29556	29556	2299	17268	20197	35123	35123	35123	45081	33601	52181	64508	61671	25362	26813	49760	43766	43766	30148	27955	27790	42374	26705	26519	28720	18077	18169	10419	10030
Tài sản dài hạn###Non-current Assets	178171	181826	185425	185425	189300	197164	194011	198300	198300	202657	210831	220582	227419	227419	225532	232922	240321	245219	245219	252691	257813	264992	249593	249593	260619	241713	245382	180900	218652	223467	229324	229324	558961	550640	597883	597883	597028	602603	584578	578809	578809	578809	573844	488686	431912	416267	419220	283014	288339	277075	272588	272588	247765	244265	243012	246917	248700	248333	249899	247188	226476	195414	124819
Các khoản phải thu dài hạn###Long term Account Receivable	35158	35158	35158	35158	35158	35158	27171	27171	27171	27171	27171	27171	27171	27171	27171	27177	27177	27177	27177	27177	27177	27177	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	1520	0	0
Tài sản cố định ###Fixed assets	107067	109889	112655	112655	115691	118872	122853	126236	126236	129640	133066	136739	140565	140565	144432	148477	152500	156816	156816	161242	165885	154706	140505	140505	143691	146908	150112	156826	161090	166188	181037	181037	497781	490954	542393	406508	546523	521992	504305	509678	419195	509678	504857	421211	367839	299933	354722	247877	229999	222781	207367	225752	215397	223526	222941	228014	227901	225343	227564	225602	205740	155319	92071
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-111387	-110357	-110489	-110489	-179743	-177210	-178281	-175546	-175546	-176338	-173559	-170535	-167356	-167356	-164137	-160741	-157246	-153575	-153575	-149744	-145747	-141941	-139409	-139409	-136932	-134361	-132300	-129293	-125861	-122518	-118839	-118839	-124631	-120552	-121930	-121930	-117039	-132817	-125950	-123240	-123240	-123240	-117799	-112637	-107500	-99135	-99135	-95132	-88560	-84806	-79947	-79947	-74805	-70841	-65502	-60214	-60209	-55640	-50264	-45313	-42248	-34225	0
