CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	 2009	Q4 2009
Tài sản ngắn hạn###Current Assets	21650967	19345248	17587173	18167460	18865202	17686584	16689098	15644005	15638407	15153167	15298866	13026643	12764600	12700084	10466277	10018064	9528430	9125476	9259090	9344302	6161572	4555727	4622220	4743798	3930956	3249686	3880402	3589788	3634307	2118950	2070483	1155675	987621	988080	710604	1125155	1155227	1277127	1277127	994687	1074767	360847	227524	227524	96168	94170	176778	176778	18865	18865
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	447508	48524	632957	634169	383442	425760	441118	334136	334643	998160	836477	226587	465835	466555	272569	314166	338590	660584	660801	76414	119196	113802	163219	163233	31153	281032	252076	563859	562859	359769	111950	552053	12942	12906	22689	33286	15503	6591	6591	6364	9619	5516	634	634	4020	11649	4356	4356	115	115
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	3176800	70630	187890	761203	192413	293593	278410	278850	278850	325687	413623	276200	276200	276200	282200	282200	282200	282200	0	0	0	0	0	0	0	0	1557441	0	1746546	1212676	932368	207397	349963	349963	443998	724682	694482	708892	708892	752866	585091	260890	139940	139940	69290	52750	148018	148018	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	13613719	16503973	14207866	14218483	15167731	14381870	13728814	12712988	12725538	12140057	12514667	11095846	10538144	10495423	9282416	8845475	7919835	6718671	7222425	8087294	5557471	3681014	3671494	3690129	3700144	2877458	1818478	2954765	1156895	424319	847236	265860	513882	513877	221556	341688	422997	542689	542689	191895	229976	78106	73396	73396	12476	20448	17096	17096	9250	9250
Hàng tồn kho###Inventory	3488276	1624118	1581702	1649527	1582944	1585187	1453461	1773020	1780711	1198350	1221892	1046478	1252470	1232179	345922	284606	625381	1239419	1099243	945326	349282	519923	620123	731672	79067	38942	28587	43286	43309	85988	94864	82960	92083	92083	5570	4974	7067	2211	2211	8989	2948	2354	2047	2047	1095	583	352	352	0	0
Tài sản ngắn hạn khác###Other Current Assets	924663	1098004	976758	904078	1538672	1000175	787295	545011	518665	490913	312207	381532	231951	229727	283170	291616	362424	224601	276620	235268	135624	240988	167385	158764	120591	52254	223820	27878	124697	36199	84064	47406	18751	19251	16791	20525	15178	16743	16743	34573	247133	13981	11507	11507	9287	8740	6955	6955	9500	9500
Tài sản dài hạn###Non-current Assets	12365668	14203790	14425541	14454913	10246449	9334101	9838019	10245285	10226173	11118143	10881847	10541659	10030568	9868705	10310022	10071304	9572461	8772696	8531031	7675667	6520451	6251181	5192593	5046474	4653477	3878649	2598348	1813764	2146135	2942063	1741850	1426136	1113240	1107768	1095866	842664	826314	846525	845866	1419659	1374264	224586	223705	223414	137940	140074	59057	59057	86	86
Các khoản phải thu dài hạn###Long term Account Receivable	2000092	1629373	1754006	1236658	449764	490274	477143	830931	858485	1231847	1119298	637290	630577	676036	847866	781379	905404	838765	13530	10988	585	430	67067	241776	474324	288367	0	67942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3581	3581	0	0
Tài sản cố định ###Fixed assets	2865128	2879122	2897138	2896193	2985516	2978727	3011578	2995858	3042755	2892863	2909627	3202863	2939381	2369191	3045252	3129226	3937804	3322011	4133434	3952849	2259629	2573783	2587505	2636286	256009	226098	211299	139486	321422	117215	122159	588004	269072	269071	292921	297793	281979	92944	306069	148675	145104	29118	25565	28025	26613	26966	12818	18765	0	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-892399	-879729	-843644	-847992	-778203	-764845	-763442	-735643	-736264	-710805	-688828	-194605	-641991	-725382	-172214	-146153	-135620	-95159	-113299	-103572	-62339	-63039	-44782	-42998	-23117	-21068	-14728	-13467	-11716	-21424	-14149	-15957	-14662	-14791	-7964	-7378	-6473	-5574	-5574	-8716	-7412	-4826	-4035	-4035	-3121	-2474	-1522	-1522	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-48085	-44711	-41355	-41355	-37999	-34877	-32131	-29776	-29776	-27799	-25887	-23976	-22064	-22064	-20583	-1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-11443	-8901	-6817	-6835	-5296	-4388	-3957	-3631	-3631	-3150	-3050	-2944	-2838	-2838	-2893	-2761	-2777	-2704	-2702	-7672	-2634	-2500	-2500	-2500	-2500	-2500	-2500	-2500	-2500	-3384	-3189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	93125	98455	103785	103004	108334	114445	119775	125106	125106	301081	311023	322997	146426	146426	204608	211493	218377	225262	225262	232146	239031	183738	189068	189068	194398	199728	205058	210388	52200	13589	13960	4198	0	4327	4455	4584	4584	4842	4713	4842	17343	35486	32794	32146	32794	33851	34985	34985	0	0
Bất động sản đầu tư ###Real Estate Investment	1329759	1350028	1353474	1290759	1225236	1248105	971196	958752	911152	618467	623503	1264892	629101	1188627	824852	830370	1161173	1406440	1637840	967954	972195	644591	646157	620660	623205	625750	607486	373758	664208	476493	478195	0	373758	373758	373758	373758	373758	373758	373758	1077227	1016477	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	1385512	1795135	1943909	1770570	401029	319933	941075	965771	1031526	1397616	1398291	1302683	1300261	1391044	517149	466867	469028	468809	761044	879976	1001434	1040757	585376	575928	538960	615499	578795	543658	620636	1117275	1099941	819879	447554	442152	411849	150941	150486	147726	147067	162992	163749	159116	159273	158982	76443	77157	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1155143	1151536	1030024	1816243	756253	925738	853801	734655	674720	789466	764771	806369	630232	626205	599268	510882	381082	388402	-98456	373154	301468	52748	220261	35522	17993	9267	20125	222995	21766	16014	9563	11180	18530	18461	12882	15588	15379	14131	14131	13422	13447	4205	3614	3614	1969	2100	1726	1726	86	86
