CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005
Tài sản ngắn hạn###Current Assets	420065	418840	380492	380492	389273	372076	332310	331776	331148	369476	339597	308446	297157	297180	374692	346528	344676	351051	351051	329689	336310	322430	288962	292555	287853	293888	292184	245818	253784	241351	233835	234661	226409	228193	247636	259838	255261	260357	247813	257050	270839	271459	268544	265981	263885	324058	256089	258672	258672	338686	212777	224601	212415	212835	208991	222653	199939	200710	223514	260031	306329	223056	152506	152151	183023	129834	120609	113642	138593	144528	140792	130596	106412	133417	144473	127946
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	80146	42122	84758	84758	34161	62718	72784	52575	52575	78848	12585	8086	12761	12761	23095	22284	28285	37663	37663	13216	14244	17629	9443	9443	9384	26827	39515	24029	18029	8780	10673	9146	6055	6055	5933	9310	6187	7792	7792	7127	6324	4807	5388	5388	3634	8230	15029	14806	14806	44244	8311	12931	12713	12713	13570	25194	5342	7270	7316	12455	8031	7772	6881	6880	10907	6452	4504	7704	7709	9233	3260	2561	4891	4891	18312	3412
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	50200	0	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	20	20	20	20	0	15	15	15	0	0	0	1800	7800	5800	9000	10800	12300	12300	11300	11300	11300	11000	11000	9000	9000	9000	9000	9000	9000	9000	9000	38000	38000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	39899	132696	49921	49921	105604	50947	38280	44907	44280	33157	35893	41560	36830	36830	65647	55975	57142	61983	61983	62916	64777	66923	54759	59809	61325	54645	68131	44372	52291	59830	44452	45402	35621	37556	47845	49404	50420	58310	45785	51305	58544	67933	71344	68780	76057	138825	75419	61785	61785	150198	57482	64171	57874	58401	58920	62533	62120	57335	79539	118452	199728	108638	44906	44552	41890	39997	34529	36209	60022	61018	61564	59581	39926	62357	57649	57784
Hàng tồn kho###Inventory	240363	234067	230506	230506	237529	242145	207555	218980	218980	240741	271054	240671	233205	233227	273411	255848	249132	243398	243398	243592	246900	228438	213892	208649	199079	206789	178609	169788	169836	160523	161251	161072	163313	163789	173152	176614	175529	170906	171039	172632	183890	171479	162794	162794	159001	155580	144864	135749	135749	132785	136202	136846	134265	134233	124014	124044	118550	124554	125347	121155	91409	92536	87960	87960	82992	75140	69594	63972	67600	66184	67716	64949	59012	63332	58258	56095
Tài sản ngắn hạn khác###Other Current Assets	9455	9956	10308	10308	11979	16267	13692	15313	15313	16730	20066	18129	14362	14362	12539	12421	10097	7986	7986	9945	10388	9425	10852	14639	18064	5626	5928	5829	5829	6418	8460	8241	9119	8493	9406	13210	11825	12349	12196	16986	13082	18240	20018	20018	16193	12423	11777	8333	8333	11459	10782	10654	7563	7488	12487	10883	13928	11551	11311	7969	7161	14110	12759	12759	7234	8245	11982	5757	3262	8094	8253	3505	2583	2838	10254	10655
Tài sản dài hạn###Non-current Assets	71179	82245	80141	80141	85987	80709	91466	92607	92607	106255	237506	226562	213526	216819	233843	220334	199327	176311	176311	199679	196123	184785	178045	184408	124668	123314	126421	119723	120855	118344	115989	125768	126033	129546	123404	123458	126433	127797	135180	134795	136001	127714	128294	128290	127795	127257	123894	97760	97760	91386	99096	98374	98829	98750	98880	95422	88286	89448	87254	161034	68212	66290	65531	64901	58113	51875	50295	50133	49028	43891	41433	41425	42354	41934	28379	28843
Các khoản phải thu dài hạn###Long term Account Receivable	10638	17977	12270	12270	16365	11989	16111	14176	14176	19332	18713	19264	18661	21955	19349	17243	17099	13878	13878	13107	12631	12742	12108	12108	10144	10562	8332	8332	8332	8332	8332	8332	8332	8332	8332	8332	8332	8332	8331	8331	8331	0	0	0	0	0	10	10	10	10	52	94	94	94	820	134	174	174	2260	83160	1429	247	247	247	0	0	0	0	529	469	308	218	143	143	143	0
Tài sản cố định ###Fixed assets	53137	53869	58092	58092	58930	59944	64312	63994	63994	73405	76562	66221	68134	68134	50004	48592	46026	48323	48323	42374	43169	42871	43390	43427	36202	36341	60993	67219	60706	61930	63858	66264	72484	73112	73692	76310	78644	71251	80415	81195	81876	81527	79279	81892	82432	82202	80300	52174	55414	53310	60196	58650	58681	59022	59236	57683	50720	51595	52216	49603	35500	34621	34361	34361	31142	29448	26219	30048	30415	25946	22947	22885	23506	23506	24562	24964
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-103338	-99101	-94907	-94907	-90530	-86534	-88332	-86397	-86397	-86342	-82399	-78041	-79610	-79610	-79505	-77667	-74281	-71891	-71891	-75568	-73178	-71140	-68714	-68696	-66986	-64737	-68755	-65250	-66930	-65731	-63610	-62351	-58349	-60283	-59823	-58691	-57002	-54437	-53838	-51461	-48778	-55733	-53136	-53145	-50171	-47362	-44969	-42123	-42123	-39772	-39521	-37706	-34999	-35012	-35911	-33782	-32213	-30511	-31556	-25630	-30267	-29149	-28289	-28289	-26667	-25404	-24190	-23368	-23364	-21872	-20933	-20195	0	0	0	0
