CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	1049787	1041397	962146	973286	974258	992965	984687	933229	928027	887256	876960	848823	888308	895607	790269	750606	701762	694149	701440	673071	683459	1064283	1033042	1046489	766349	720184	513781	520565	524072	486262	419669	330309	277700	279037	252903	244893	241035	239820	312288	332240	329574	340639	327502	391256	398612	403616	366425	313951	313951	210355	193950	121787	92604	109491	76411	120111	102274
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	20313	12821	13399	13377	17815	35646	41218	17509	17509	15041	16021	12949	34302	34302	12461	14827	6444	6883	6883	7653	9210	41432	46690	46690	9452	9007	18548	54055	54054	19976	17110	18020	6356	6356	6016	3233	1393	992	968	2828	304	9334	3970	2894	42216	62320	27204	44827	44827	15575	52770	35495	47494	6151	36119	6292	64861
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	50000	50000	50000	50000	50000	50000	50000	50000	50000	30000	30000	30000	30000	30000	30000	31000	0	0	0	0	0	39150	39150	39150	39150	39000	39000	39000	39000	39000	39000	39000	39000	39000	39000	39000	43450	43450	43613	43713	44395	40361	72124	72124	80275	35139	8315	3704	45689	30807	73600	22000
Các khoản phải thu ngắn hạn###Short term Account Receivables	365686	370454	335972	343556	337274	337812	312284	304650	305849	307314	328920	312063	340342	338822	340317	328380	286355	283416	288404	288820	282431	296078	290806	291365	84461	85562	106212	73528	73878	107735	97307	55812	44886	46636	42424	41812	40729	40613	122651	37769	35923	49362	59739	112551	67893	55433	68996	44168	44168	79034	94926	63971	28413	44658	0	30757	13609
Hàng tồn kho###Inventory	638811	633169	592816	595936	603653	555145	545615	527130	520730	481529	451366	444248	434707	440523	380774	354503	360770	356586	359031	330009	344516	713073	684348	701893	662739	621025	348790	330322	333480	296022	242976	194818	165179	164563	142724	138530	138219	137828	128282	211005	206299	194926	179391	192407	189746	184655	184323	130804	130804	0	0	0	0	0	0	0	29
Tài sản ngắn hạn khác###Other Current Assets	24977	24953	19958	20417	15516	14362	35569	33939	33939	33372	30652	29563	28958	31961	26716	22896	18193	17264	17122	16589	16302	13700	11198	6541	9698	4589	1081	23510	23510	23379	23276	22659	22279	22483	22739	22317	21693	21387	21387	41638	48048	43568	40952	39792	55045	56813	45541	22027	22027	35471	11116	14006	12992	12992	9485	9463	1774
Tài sản dài hạn###Non-current Assets	121777	118608	119402	122188	126641	130829	132282	127586	145498	144555	148544	148634	149894	152279	150925	168868	170551	171608	167454	164253	138093	156993	157703	157706	415223	416143	485537	463344	464091	457702	458865	520668	521871	533435	536102	542680	540651	542100	547351	550875	520234	506172	500152	481954	468487	465555	459467	467882	467882	722359	382148	247430	224411	199087	110470	63691	113700
Các khoản phải thu dài hạn###Long term Account Receivable	10	10	10	10	130	130	130	154	154	191	240	289	289	289	326	350	350	350	350	350	350	350	350	350	242856	242856	350	0	120	120	0	120	0	120	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1323	1402	1482	1482	1561	1641	1720	1799	25760	25980	26200	26457	26717	26277	26561	26844	27488	27891	28091	28494	26345	26787	27234	27234	27725	28177	28628	86112	29080	29539	29998	30484	30983	30983	31482	37356	40689	41257	9621	11980	10216	5998	4816	11573	5318	56746	52203	4676	61940	357020	266592	161984	161424	150400	90223	6743	22497
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-38424	-38345	-38266	-38266	-38186	-38107	-38027	-37948	-13988	-13768	-13547	-13290	-13030	-13470	-13187	-12903	-12260	-11856	-6748	-6344	-10862	-10417	-9970	-9970	-9523	-9072	-8620	-8168	-8168	-7709	-7250	-6764	-6265	-6265	-5766	-5567	-5292	-4703	-3574	-3267	-2961	-2592	-2350	-2350	-2108	-1862	-1651	-1436	-1436	-1222	-1009	-885	-823	0	0	-338	-116
