CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q2 2013	 2012	Q4 2012	 2011	Q4 2011
Tài sản ngắn hạn###Current Assets	638185	607860	621942	629407	697338	635795	612208	665121	687851	612670	621836	729658	663910	665383	726588	674046	605561	554811	554859	562912	546850	526142	545103	570915	453687	515065	520274	486111	486111	464889	448298	448298	393209	393209
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	86281	59253	44899	44899	73936	40457	13917	26752	26752	14028	22061	19499	32479	32479	16008	31015	37801	56647	56647	111305	108243	65963	78453	78455	40966	88888	57134	63031	63031	81028	58501	58501	62520	62520
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	20000	20000	20000	90000	90000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	308629	318670	401628	401628	319832	360987	391928	418319	442686	387828	331941	387991	408642	411368	429943	341050	326976	289711	289730	198176	204349	214578	253001	261897	184610	193583	237572	199859	193597	137990	159838	159838	141684	141684
Hàng tồn kho###Inventory	236197	222028	173422	180887	292337	229643	199376	215629	213993	202101	256294	290339	200535	199282	190142	211472	239057	207387	207418	252080	231858	227554	208149	211278	213136	217769	211217	207733	207733	223301	212669	212669	172376	172376
Tài sản ngắn hạn khác###Other Current Assets	7078	7907	1993	1993	11234	4708	6988	4421	4421	8714	11539	11829	2254	2254	495	509	1727	1065	1065	1351	2400	18047	5499	19285	14974	14825	14351	15488	21750	22570	17290	17290	16629	16629
Tài sản dài hạn###Non-current Assets	265856	268113	271497	271497	275308	278561	281809	281132	281132	270013	261173	256382	248705	248705	244996	247488	250630	254534	254782	262631	267631	252964	271212	241058	256965	257178	259546	260979	260979	255063	264042	264042	285083	285083
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1959	0	-15278	-182	-182	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	95348	96659	100507	100507	102173	105777	85969	88050	88050	78231	77171	80331	73991	73991	73059	75864	78845	82228	82228	85485	89066	84785	87450	87941	86802	68463	73678	76643	76643	89459	100274	100274	122059	122059
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-293242	-289392	-285544	-285544	-281559	-277467	-273412	-269681	-269681	-265605	-264871	-261213	-263585	-257562	-259996	-256520	-252879	-248479	-248479	-248049	-243471	-238716	-234064	-234064	-228605	-223228	-217811	-212065	-212065	-188750	-176425	-176425	-154423	-154423
