CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	947440	860112	875293	879644	808496	776361	614088	564539	564539	615940	565229	489564	563707	566752	414352	491696	419962	426643	426643	424338	389739	354597	174232	174578	185381	198054	208702	193309	193309	171718	182845	166378	161227	161227	179734	186781	158760	156346	155507	159945	161840	250168	327566	327566	274504	253806	239887	241419	241511	244413	173728	155298	172325	172325	175699	168016	125674	144578	145455	130545	140306	118189	67341	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	52560	97724	156335	156335	45415	52501	64758	28532	28532	29539	29475	74259	111182	111182	17972	62353	62623	34695	34695	12735	92205	113739	1749	1749	3101	7577	876	6580	6580	2803	6161	6053	5268	5268	3453	2983	2184	2712	2712	21245	6851	9822	5069	5069	13250	13040	19893	13138	13138	36241	8351	6461	9870	9870	13409	17780	3871	15926	14879	3925	14659	7299	27736	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	8500	8000	8000	8000	8017	8017	7860	7860	7860	7712	7712	7563	7563	7563	15412	15412	15270	65270	65270	55000	55000	55000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	453237	456883	387340	391691	355160	265572	160329	166574	166574	175309	158971	153389	164282	164282	241139	279492	267829	260162	260162	259415	124822	98059	97223	97223	100708	99170	104472	92741	92741	80834	91582	87798	99084	99084	118422	122830	101977	95937	95937	76319	81790	52972	102178	102178	36176	52929	46146	76185	76276	67095	35289	43221	73216	73216	76895	53656	84321	54851	100252	63604	68493	66975	31407	7156
Hàng tồn kho###Inventory	405363	263414	310778	310778	393427	437719	368656	337191	337191	374352	325082	230150	224604	227868	113381	127145	67854	55931	55931	86908	108876	78682	57753	57753	71755	82524	94106	83899	83899	82743	78333	60014	43950	43950	47966	49963	44529	48103	48103	51048	63202	185023	212411	212411	212894	165321	154896	141648	141648	132414	123374	101963	86260	86260	82345	94522	36624	70326	30037	61010	54132	38677	6652	0
Tài sản ngắn hạn khác###Other Current Assets	27780	34092	12840	12840	6478	12551	12486	24382	24382	29028	43988	24203	56076	55857	26448	7294	6386	10584	10584	10279	8835	9117	12507	12853	4817	3783	4248	5089	5089	5338	6769	12512	12924	12924	9892	11005	10069	9592	8753	11333	9996	2351	7907	7907	12184	22517	18952	10448	10448	8663	6714	3653	2980	2980	3051	2058	859	3475	286	2007	3022	5238	1546	0
Tài sản dài hạn###Non-current Assets	1199201	1222528	1237984	1237984	1246977	1299682	1267202	1247698	1230411	1154782	1076793	935099	726239	724049	461543	220027	206580	202990	202990	208511	216182	222557	231945	231945	217883	213536	221619	227823	227823	233353	239331	239520	237952	237952	232969	242893	276679	279174	279174	288845	290235	294666	325780	322422	324134	325500	323595	306235	306415	277208	262484	239763	228114	228114	200061	177333	152993	152384	130896	112864	48324	46779	39927	0
Các khoản phải thu dài hạn###Long term Account Receivable	15425	18824	18771	18771	21536	24069	16327	16327	16327	21285	3915	3915	4312	4312	2944	1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	206	206	206	254	0	0	0	788	866	945	945	1024	1103	2006	2180	2180	2377	2575	2674	2839	0
Tài sản cố định ###Fixed assets	1158888	1174052	1197446	1197446	1207158	122846	128405	133406	133406	141734	166380	175834	184128	184128	187585	178093	184292	189048	189048	196951	205728	211193	219015	219015	195650	201429	208135	213915	213915	218733	212074	228233	225826	225826	218984	227114	232150	236039	236039	243835	248347	252872	288299	288677	291825	297745	295140	40371	276722	247550	230897	208427	195468	195468	162877	141692	115852	114715	93488	62296	23036	21538	20306	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-311227	-284855	-258751	-258751	-236833	-223404	-214723	-205989	-205989	-197390	-204030	-194012	-183957	-183957	-175412	-168040	-159794	-151052	-151052	-143473	-134180	-125204	-116936	-116936	-108745	-100817	-93320	-85713	-85713	-79315	-71893	-65016	-58238	-58238	-53821	-50454	-46923	-42394	-42394	-43489	-38630	-33621	-45414	-45414	-39304	-33461	-33104	-27528	-27528	-25959	-24462	-23044	-21468	-21468	-19811	-18697	-9597	-16130	0	0	0	0	-6748	0
