CAN DOI KE TOAN	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	Q4 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1531340	1522802	1507426	1531071	1462616	1603876	1557569	1543668	1540812	1621922	1537442	1310721	1308625	1264974	1172357	931150	934169	944138	769215	662998	443182	428394	470549	421617	377330	319846	393716	397557	639446	694243	468657	260687	278993	193073	51140	51140	46015	43962
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	10776	8870	7539	5125	6616	9323	8679	8739	19425	11424	119239	8416	14521	18139	18929	13896	10401	10334	5681	5844	6642	3447	3322	15998	18295	8419	3233	3233	24155	3909	2335	8414	8414	34293	900	900	787	3665
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	-2081	57919	0	60000	60000	60000	100000	129000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	1172475	1166750	1154275	876833	803761	875165	883786	833341	788474	853381	771291	716154	716154	848212	779073	518499	556842	590959	442308	402178	196649	183744	239854	189500	141910	88162	206655	249904	348794	486931	301948	121738	141440	112667	14398	14398	17138	27617
Hàng tồn kho###Inventory	346482	345579	345258	588662	650034	649623	600865	628289	618170	610109	515224	553535	553535	387605	367646	360781	337800	323498	299689	249264	233467	219988	210877	210440	207896	186108	168257	128849	218960	175068	135830	124547	124547	41183	26953	26953	21930	9505
Tài sản ngắn hạn khác###Other Current Assets	1607	1604	2436	2533	2205	9765	4240	13298	14743	18008	131688	32615	24415	11018	6708	37974	29127	19348	21537	5712	6424	21216	16496	5679	9229	37158	15571	15571	47537	28335	28544	5988	4592	4929	8890	8890	6159	3174
Tài sản dài hạn###Non-current Assets	351457	312157	330152	421445	324434	314671	313041	312455	313454	285184	286040	290871	290871	295638	300678	333750	310591	321221	321013	318866	312797	315898	321550	282770	255150	258310	263345	263345	216290	178250	181458	167406	169766	134678	34244	34244	21585	11437
Các khoản phải thu dài hạn###Long term Account Receivable	0	450	0	0	0	0	5505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	199679	201940	169071	261590	218352	308565	208499	208499	213206	218029	224406	290271	290271	295006	299843	332682	309523	320153	319945	317798	310336	225123	276378	273931	250963	254899	193031	259323	206190	168150	170438	156571	158941	124302	33598	33598	21159	11118
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-127306	-125045	-119479	-114481	-157720	-116818	-111573	-111573	-106755	-101932	-96134	-91303	-91303	-86475	-81637	-73729	-71889	-72727	-67933	-57102	-51207	-45822	-45820	-41406	-35873	-30921	-25948	-25948	-21516	-18519	-15475	-12345	-9976	-9416	-7554	-7554	-5129	-3225
