CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	1027226	1104198	1140621	1123228	1091262	971951	979094	1046164	1046036	983856	825751	752717	677300	677184	677674	570184	542697	514433	515180	713963	699880	711465	715984	717098	710473	729676	757601	674324	674324	633507	688500	512048	484557	484804	444128	448080	392301	385456	383470	341956	302043	276934	288653	159202	152810	85643	176057	187569	187678	277703	251229	300916	266848	264040	484753	377190	462085	402874	218371	117311
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	228382	26575	30575	30516	74895	39592	45208	75153	75153	119032	148912	70913	101587	101587	111840	28454	64865	78710	78710	79972	59453	106974	157626	107626	249398	193013	138850	188495	188495	221364	277074	236667	212873	212878	165813	191811	239353	199517	199517	104593	79189	4546	31204	3404	5087	5700	3097	1876	1866	2297	41345	15562	108966	73966	54192	1134	32525	4788	66056	43504
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	598000	823000	832500	832500	726000	707500	670143	715143	715143	591782	440782	472139	436678	436678	389557	312557	295757	262277	262277	459824	481004	495004	441353	491353	243727	243447	287385	257385	257385	80148	80148	95836	115848	115848	86648	86428	35428	36429	36429	35628	34918	24418	44318	72118	48118	35076	86687	119126	119126	192585	191010	219206	138981	173981	183701	133701	192542	178701	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	189870	250620	274155	256851	286384	219755	259957	252765	252646	264826	227623	201981	129205	129089	166952	220462	170431	162763	162709	163384	149035	98152	104533	105554	204363	239589	279116	174411	174411	276021	275542	124157	103093	103335	165143	141685	105802	139393	137407	194267	181296	240014	205773	76315	90865	36756	79225	60429	60548	77211	13316	60010	12616	9382	240030	229703	231821	214597	148285	65912
Hàng tồn kho###Inventory	4525	3564	2729	2699	3622	4746	3536	2807	2808	7639	8038	7477	9463	9463	8894	8154	11127	10225	11025	10276	9790	10482	9706	9706	10124	50156	50015	49891	49891	51812	51756	49808	49144	49144	21779	21234	6214	5662	5662	4570	4690	6033	5966	5966	6158	6029	5361	5110	5110	4805	4925	5486	5107	5107	4860	4775	4460	4410	3985	4658
Tài sản ngắn hạn khác###Other Current Assets	6449	439	662	662	360	359	250	296	286	577	396	206	367	367	430	557	518	458	458	508	599	854	2767	2859	2861	3473	2235	4142	4142	4161	3980	5581	3599	3599	4743	6921	5504	4454	4454	2897	1950	1922	1392	1399	2581	2082	1687	1029	1029	805	633	653	1178	1604	1970	7877	737	378	44	3237
Tài sản dài hạn###Non-current Assets	614904	627429	635760	635824	628657	632745	641995	649769	637566	610501	621595	640649	670044	669857	694606	721199	749757	784095	832722	789470	825009	895201	929605	931529	959370	893921	906497	919122	919122	904347	917542	945752	972209	971945	1003439	1026273	1051622	1080575	1083707	971435	986041	1020503	1034692	1034731	1061461	1092176	1106673	1133199	1162001	1136934	1170816	1199680	1225368	1224942	1198797	1224263	1160491	1191085	1272824	1335968
Các khoản phải thu dài hạn###Long term Account Receivable	0	203	203	203	203	203	406	406	406	406	406	609	609	609	609	609	812	812	812	812	812	1015	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	404687	413285	423499	423499	426109	431421	441112	451630	451630	459933	471113	487210	517162	517162	542437	570928	602272	636498	637557	667796	703231	736032	760992	760610	482729	514850	546869	750312	583118	608921	642486	677884	813211	812956	835672	859706	885064	850904	916875	748960	783722	809446	794322	833755	860485	891200	909016	923054	941801	954877	988760	1019623	1052084	1052084	1079939	1106205	1138013	1170307	1272824	1335837
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2142930	-2134382	-2122874	-2122874	-2113458	-2102242	-2091450	-2080345	-2080345	-2071486	-2060455	-2043253	-2012888	-2012888	-1983236	-1953311	-1920409	-1886055	-1886074	-1847972	-1814655	-1782718	-1749878	-1750332	-1716331	-1684185	-1650737	-1614636	-1614636	-1578734	-1542869	-1507655	-1472150	-1472369	-1434445	-1400286	-1366877	-1332425	-1332380	-1276678	-1244555	-1212436	-1180334	-1180334	-1151318	-1118733	-1086150	-1053570	-1053570	-1020431	-987179	-954782	-922384	-922384	-890392	-858400	-826408	-794417	-690946	-627400
