CAN DOI KE TOAN	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	475499	641381	485857	385330	385331	478021	612387	350818	426905	426905	170789	261802	214660	286389	286502	245583	278213	255475	248676	248676	301069	255676	176782	141172	141054	78595	98775	253450	167284	170738	94014	66470	50732	54084
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	82262	78138	32137	52446	52446	59117	157058	10993	128050	128050	2923	6599	15843	51116	51116	21222	12470	14046	18959	18959	26664	41524	15433	63067	63067	13108	20268	9337	17679	7686	9211	5627	11803	5198
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	30765	0	0	20000	0	0	62000	62000	30000	40000	25000	0	-281	116026	95038	23313	65887	65887	223014	116542	40954	27585	27585	44260	31095	23864	20905	30913	48409	16316	8265	9427
Các khoản phải thu ngắn hạn###Short term Account Receivables	305915	368551	278461	180735	180735	274415	277280	118856	165439	165439	106568	101619	26451	111959	112240	41796	20137	30660	71114	71114	39190	9707	6879	4237	4119	5621	3389	137247	74594	77837	30009	8756	806	585
Hàng tồn kho###Inventory	64976	190991	133588	95191	95191	91598	169926	211886	58533	58533	22721	108971	138889	109348	109348	60589	145989	183206	78982	78982	8738	85166	110194	39153	39153	14390	43419	80069	42318	42538	5217	30870	24828	34611
Tài sản ngắn hạn khác###Other Current Assets	22347	3700	10905	56959	56959	32891	8123	9083	12883	12883	8576	4613	8477	13966	14079	5951	4579	4250	13733	13733	3462	2737	3323	7131	7131	1217	605	2933	11788	11763	1167	4900	5030	4263
Tài sản dài hạn###Non-current Assets	951627	965850	975553	811585	811584	556529	408337	408951	406263	406263	396403	383852	379998	382848	382848	387834	379166	382022	365126	365126	271677	269430	277452	276841	276841	279187	262631	99530	96604	95694	100439	96806	95347	54464
Các khoản phải thu dài hạn###Long term Account Receivable	2196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	904731	925735	935483	771623	771623	516123	336394	343804	373386	373386	363606	351221	350153	349228	349228	357401	349090	353829	336857	336857	256716	254460	259432	265104	265353	261118	259463	97310	93581	93324	97405	93069	89598	54454
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-325396	-307329	-288976	-278717	-278717	-268064	-257419	-246935	-236960	-236960	-227307	-217482	-208326	-199364	-199364	-190591	-182268	-172689	-162441	-162441	-154857	-147412	-140935	-133666	-133666	-128903	-125375	-122346	-118878	-118878	-117201	-106781	-94393	-116519
