CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	410557	407921	413962	2895385	2900799	2883484	2871984	2915913	2915427	2888583	2921603	2993631	2976230	2976810	3539509	2815462	2856591	3034924	3034999	2899301	3531551	3294499	3385698	3391457	3414800	3240296	3548991	3373401	3414986	1839663	1829467	1909212	1902982	1901505	1803336	1928924	2012756	2242505	2777615	2466898	2794859	2649062	2781259	2943877	1111102	1113384	1620916	1750942	1750942	314847	623385	623385	228484	226808	6404
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	30491	41926	31936	37106	45815	34311	24420	14934	14934	15788	56841	9497	22953	22953	55259	33732	21666	45481	45481	35309	499011	533634	284597	284598	15601	18864	32738	66012	66012	82140	71258	91186	100677	100677	120968	135463	85506	113346	113345	97938	159338	105687	113268	113268	120758	96756	100101	110086	110086	63797	7244	7244	25382	125382	5374
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5170	5170	5170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70400	120900	120900	100000	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	349567	339533	357946	357946	351397	339469	346411	398459	398505	355622	312376	450857	448323	448866	130104	219146	226881	426323	426949	234958	220372	247746	467476	489385	247834	76618	85558	204379	204379	130627	67271	49871	187764	187764	87919	77462	126877	337018	872224	369403	522094	372709	199417	201370	194756	100512	124340	171948	171948	22311	460724	460724	101262	99586	17
Hàng tồn kho###Inventory	25280	21292	18910	2500334	2503470	2505826	2494668	2494703	2494172	2501569	2532975	2513603	2494096	2494133	3257285	2532207	2513777	2499167	2498616	2539877	2720981	2423357	2539486	2524806	2987878	2902834	3178611	2878469	2920392	1375247	1437016	1503719	1536934	1535457	1593226	1714928	1798967	1790840	1790757	1982342	2111568	2168141	2297775	2458440	790858	911332	1395284	1334090	1334090	38722	33826	33826	261	261	0
Tài sản ngắn hạn khác###Other Current Assets	49	0	0	0	117	3878	6486	7816	7816	15603	19411	19674	10858	10858	96861	30376	94267	63953	63953	89156	91186	89762	94138	92669	163488	241980	252085	224541	224202	251650	253923	264436	77607	77607	1223	1071	1406	1301	1290	17215	1858	2525	170799	170799	4731	4784	1191	134818	134818	119617	691	691	1579	1579	1014
Tài sản dài hạn###Non-current Assets	52973	56053	59336	59336	62160	64772	68726	72822	72822	76576	76649	79863	84080	84080	76312	77749	76287	78036	76153	74507	71096	61701	57796	57555	53863	54740	54105	46860	46860	47748	48791	47328	49064	49703	48174	48561	49845	50911	50988	50116	50604	50167	49636	46540	41892	39830	40249	38707	38707	37317	11502	11502	6876	6876	1549
Các khoản phải thu dài hạn###Long term Account Receivable	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	38	33	33	33	201	201	216	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	22595	25022	27579	27579	30085	32756	35435	38115	38115	40720	40598	42986	45640	45640	39936	40980	39785	40344	38461	36141	33946	25648	21903	21903	20481	21292	20959	13600	13399	14360	15216	13469	14523	14523	12600	12399	14432	14960	14960	13995	13985	13492	13124	11376	9602	7860	8231	8556	8556	8282	5415	5415	4405	4405	1177
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-62557	-60142	-57597	-57597	-54969	-52310	-49643	-46976	-46976	-44311	-41680	-39756	-37124	-37124	-34631	-32239	-29873	-27605	-27592	-25402	-23321	-21427	-19906	-19906	-18458	-17105	-16859	-15641	-15641	-14690	-13665	-12978	-11934	-11934	-10936	-10107	-10349	-9309	-9309	-8277	-7287	-6434	-5629	-5628	-4902	-4256	-3782	-3276	-3276	-2627	-1323	-1323	-434	-434	0
