CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản ngắn hạn###Current Assets	4796778	3978232	4152924	4160641	4418363	4301388	3522961	3150023	3229172	3041350	3529046	3231479	3093186	3094889	2930379	2491314	2083931	2045729	2040492	2186915	1967661	1659846	2120773	2122963	2107102	1610498	1878738	1031760	1022391
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1113582	490459	567652	567647	665020	523592	378869	701280	741280	524232	814514	428552	567444	567442	485320	145389	244545	418610	438544	340981	262172	303194	571111	571041	185325	414908	284960	74724	69774
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	149782	146627	180000	180000	150000	110000	110000	90000	50000	50000	0	100000	100000	100000	20000	20000	0	20000	0	0	0	0	0	0	0	0	0	0	6330
Các khoản phải thu ngắn hạn###Short term Account Receivables	2376598	2171327	1851439	1864593	1866978	2049239	1796525	1551785	1632643	1546405	1521685	1309314	1302167	1300219	1525780	1464184	1096060	1046245	1043219	1211243	1159436	834360	961064	964287	939443	537982	870717	506611	543055
Hàng tồn kho###Inventory	1137112	1089711	1434022	1429232	1610890	1499256	1150696	759475	759027	877789	1147331	1340386	1085491	1085193	838200	796708	685013	532293	529379	561444	503958	482269	568014	566538	865802	626061	702196	430506	385118
Tài sản ngắn hạn khác###Other Current Assets	19704	80109	119810	119169	125475	119300	86870	47482	46222	42924	45516	53228	38085	42035	61078	65033	58314	28582	29350	73247	42094	40022	20584	21096	116533	31547	20865	19920	18114
Tài sản dài hạn###Non-current Assets	4553122	4736519	4162354	4153403	3871760	3563167	3466247	3446883	3427555	3346237	3216851	3159475	3120586	3117705	2997486	2871112	2660814	2483822	2480491	2051813	1601677	1329266	1142705	1142163	874040	467545	241725	207352	209301
Các khoản phải thu dài hạn###Long term Account Receivable	685	161	8296	148	0	0	13	8296	148	0	243	242	38	0	86327	86327	86314	86327	86314	94616	78012	78055	78524	78512	77864	0	0	0	0
Tài sản cố định ###Fixed assets	3079540	3181192	2413998	2413966	2447038	2472671	2498554	2530561	2522170	2655937	2688167	2719805	2755397	2755397	1613216	1634901	1653052	919782	919783	98505	100698	96483	96558	96558	91254	238240	91225	93258	106689
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-639182	-596054	-560403	-560434	-528211	-494175	-459658	-424883	-425810	-394084	-362790	-329078	-302170	-302170	-274312	-250440	-234303	-211441	-211441	-192149	-195536	-189695	-183742	-183742	-185334	-174345	-160921	-154842	-138027
