CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	12699	19285	34761	64329	56407	58598	69064	69064	174109	70165	64522	74866	80590	112811	124560	144565	144759	147443	76940	93456	169600	170284	154005	127915	145826	150044	150790	181517	174373	159420	141976	142944	120554	137096	147519	109679	107955	72502	62083	73598	73143	79401	119322	114841	112851	98364	24175	2657
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1289	2415	2462	5086	2972	4642	8767	8767	3136	3114	6816	6816	7955	9003	12949	15614	15614	5424	8429	5969	7332	7332	9258	5405	1627	2838	2838	3717	8152	5981	9974	9976	3395	6839	7270	3336	3336	443	1697	2443	1188	1188	2773	1258	4889	1200	1541	210
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	10057	11038	18671	21671	16671	16671	40918	14593	10293	10376	560	16026	16060	16060	16145	14464	14464	13308	56898	56898	58855	64285	57438	69912	172	198	198	321	321	321	524	524	448	448	448	433	10333	22184	22184	22511	41113	56590	56590	52132	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	7411	14381	10332	31740	23977	24964	33770	33770	111403	27577	29918	30230	43817	36193	56031	63720	63757	72271	35881	54110	63351	64034	41104	34435	31835	43361	113599	126792	113265	112910	84640	96856	100235	112094	119151	92949	92949	50792	42083	40771	42533	42976	47026	44952	40296	32441	7193	608
Hàng tồn kho###Inventory	3099	2067	11580	15754	10310	6659	9004	9004	14894	18737	16287	19981	21514	43009	31904	41910	41913	46005	8894	13791	22794	22794	23935	3484	26067	6326	6326	25031	29221	20257	25299	25299	5888	8309	12717	6364	6364	15424	1932	3177	1297	1309	5270	129	547	113	12002	156
Tài sản ngắn hạn khác###Other Current Assets	900	422	330	712	476	662	852	852	3758	6144	1209	7463	6744	8581	7617	7261	7329	9279	9273	6278	19225	19225	20853	20305	28858	27608	27855	25778	23537	19951	21742	10492	10513	9329	7933	6582	4859	5411	6038	5023	5940	11417	23140	11912	10530	12478	3438	1684
Tài sản dài hạn###Non-current Assets	68234	72773	89258	180763	185381	186717	187852	187852	121400	195620	199776	199859	205765	220579	226536	225474	226142	225288	221199	222039	161027	161608	161156	160267	160018	160992	160812	153670	141147	144598	137355	136388	135184	120555	111331	99454	101833	109412	110234	109163	109685	164157	193717	190062	187418	185745	31036	22857
Các khoản phải thu dài hạn###Long term Account Receivable	488	683	703	73922	73922	73922	73922	73922	0	0	74074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	21983	25456	29604	34052	36071	36805	37285	37285	39448	40557	41695	42088	42661	43329	44476	45861	119102	120340	118905	120175	48099	51103	52315	35681	54141	41806	50066	47941	48515	49173	39146	48188	47910	45131	42162	42578	42578	41412	42134	42897	43397	136028	165510	161563	159859	159436	25011	16982
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-46287	-42499	-40688	-36298	-32910	-31878	-30850	-30850	-28600	-28699	-27664	-25345	-24696	-28393	-27288	-26159	-26189	-25036	-23896	-22809	-21671	-19462	-18373	-17061	-18439	-17393	-15236	-14274	-13319	-12370	-11421	-11421	-10039	-9780	-8869	-8047	-8047	-7243	-6483	-5726	-4981	-6058	-5170	-4340	-3511	-2697	-2863	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	-1086	-989	-891	-891	-695	-597	-499	-499	-402	-304	-206	-108	-133	-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
