CAN DOI KE TOAN	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	214476	164568	171143	163191	124322	132941	117831	125422	116005	112456	110556	116874	128819	116192	101271	89318	65733	64429	69470	70551	59802	48454	96713	45816	41786	43799	40011	95827	91127	86592	86324	76615	76364	78607	69873	66355	66752	75219	60529	63398	62346	62346	54960	63873
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6434	9849	9017	7168	6566	16339	13769	13762	9377	12072	9959	9360	9360	13028	16128	12295	8073	8064	10058	15506	14190	6037	5927	6011	7419	5291	7508	7008	3503	6048	3506	5145	5179	1629	2014	6337	11179	11179	1887	4384	6024	6024	3640	2567
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	4075	4686	0	1586	0	0	1500	0	0	0	49228	0	0	573	573	52973	45573	45573	32711	32711	32711	32711	32711	32711	32711	32711	32711	32711	32579	32579	18799	36875
Các khoản phải thu ngắn hạn###Short term Account Receivables	192298	138681	146121	139032	101476	98923	84053	90362	90437	85511	80802	85645	92155	80888	70893	57702	45996	45261	45835	40303	36110	30914	30121	29204	25294	29398	21089	24185	25544	17183	31975	21672	21364	25813	18209	11616	8071	17178	11970	12229	8885	8885	17530	16219
Hàng tồn kho###Inventory	4825	4744	4744	4913	5211	6076	5171	5171	5230	5322	5338	5025	4938	4690	5056	4096	2634	2634	2963	3222	2634	2912	2922	4394	4023	4244	6399	7207	11651	12607	13314	12391	12593	11643	10868	10272	9228	9228	8831	8918	7770	7770	4484	1060
Tài sản ngắn hạn khác###Other Current Assets	10919	11294	11262	12079	11069	11603	14837	16128	10961	9550	14457	16844	18291	12900	9194	13639	9030	8470	9113	11520	6868	8590	8516	6208	5050	4293	4442	4454	4857	5182	4817	4696	4517	6811	6072	5419	5563	4923	5130	5156	7087	7087	10508	7153
Tài sản dài hạn###Non-current Assets	717537	743979	753232	723161	755142	737566	772829	780114	711042	731065	713441	676304	681503	569546	593116	549212	489368	494175	482050	479511	379113	388859	349353	348484	357556	359809	381607	331722	334990	349240	329314	339148	338393	345505	335287	319201	307431	301031	290167	286166	270637	270637	196427	120710
Các khoản phải thu dài hạn###Long term Account Receivable	8805	266	9893	4541	269	4863	3181	0	417	6456	6568	11029	0	0	10557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	645033	672564	672922	660236	693276	677545	688459	678604	631425	648610	621149	596036	602989	499171	509331	484168	438761	438661	431703	415689	328257	343660	343236	293252	302370	304355	310088	324842	327717	341055	323088	327709	331631	337924	327492	311456	265254	292410	281335	277164	262347	262347	177732	110437
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-412904	-392870	-384517	-348024	-335204	-325238	-308216	-299793	-290460	-275681	-270392	-258075	-250322	-265172	-263855	-245274	-214977	-216771	-205630	-198335	-178493	-167879	-170167	-177731	-165355	-155078	-139504	-140459	-132969	-122742	-112384	-102811	-103226	-93738	-83550	-76236	-67522	-67522	-64741	-56959	-43491	-43491	-20492	-8925
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2818	-2669	-2521	-2373	-2373	-2225	-2837	-2442	-2442	-12735	-8861
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-71	-59	-60	-48	-36	-24	-12	-12	0	0	0	0	0	0
