CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Vốn chủ sở hữu ###Owners equity	60503	62564	60427	60465	59603	57552	63374	61384	60047	59830	59714	65195	62426	62383	61272	57845	55051	56654	55945	55837	53824	45960	45739	45925	41760	43946	40356	41282	41198	38861	39092	37460	36776	36804	36686	35269	36760	36219	36295	35491	35343	38499	37664	38825	36913	37861	35704	39288	39326	37482	29056	26980	30950	32044	29208	28355	25612	25336	25430	24726	23242	24387	20161	20686	20442	19036	18669	18119	18766	19460	16730	17016	15937
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1194	1162	801	554	1384	1485	1377	1071	366	0	552	361	376	227	0	626	464	472	221	459
Vốn chủ sở hữu ###Owners equity	60503	62564	60427	60465	59603	57552	63374	61384	60047	59830	59714	65195	62426	62383	61272	57845	55051	56654	55945	55837	53824	45960	45739	45925	41760	43946	40356	41282	41198	38861	39092	37460	36776	36804	36686	35269	36760	36219	36295	35491	35343	38499	37664	38825	36913	37861	35704	39288	39326	37482	29056	26980	30950	30850	28046	27554	25058	23951	23945	23349	22170	24021	20161	20134	20082	18661	18442	18119	18140	18996	16258	16795	15477
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48460	48275	47370	47406	44302	43916	44784	43699	43574	44135	45852	51577	52058	51575	48906	47460	43570	48380	48384	49975	52200	36405	40010	39973	36347	34545	30127	32236	32814	36202	31606	27670	25529	25482	22363	21068	22872	21932	21932	21479	20454	20610	18973



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	21478	21527	107151	30945	28248	23188	24770	96326	23989	23514	30253	18570	107955	29546	26936	30307	21312	115651	30927	29376	28325	27022	131687	45102	29582	33648	23355	110935	26408	27453	35134	21940	88625	26829	22014	25097	14685	80848	20599	18741	21251	20257	73888	22401	18735	18918	13835	66613	18610	17384	17212	13406	72148	19074	19731	20128	13215	55482	16335	13365	12464	13319	43050	13317	9431	11642	8660	38080	11433	10237	9126	7284	36860
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Doanh thu thuần###Net Sales	21478	21527	107151	30945	28248	23188	24770	96326	23989	23514	30253	18570	107955	29546	26936	30307	21312	115651	30927	29376	28325	27022	131687	45102	29582	33648	23355	110935	26408	27453	35134	21940	88625	26829	22014	25097	14685	80848	20599	18741	21251	20257	73888	22401	18735	18918	13835	66613	18610	17384	17212	13406	72148	19074	19731	20128	13215	55482	16335	13365	12464	13319	43050	13317	9431	11642	8660	38080	11433	10237	9126	7284	36859
Giá vốn hàng bán###Cost of goods sold	16036	15727	83505	22831	22913	18280	19481	76044	18255	18446	25131	14244	83550	21901	21192	23808	16906	92238	23627	24037	22932	21648	105827	35112	24283	27105	19201	92144	20495	22458	29408	19556	76869	22577	19037	22082	13123	72795	18743	17339	18830	17998	60583	19661	15568	14409	10808	51036	14023	12363	13760	10891	57302	15409	14976	16286	11035	35638	12744	8869	6860	7391	34692	10084	7411	9591	7605	29840	10286	7427	6786	5405	29224
Lợi nhuận gộp###Gross profit	5442	5800	23646	8114	5335	4908	5289	20282	5734	5068	5122	4326	24406	7646	5744	6498	4405	23413	7300	5340	5393	5375	25860	9990	5298	6543	4154	18790	5912	4995	5726	2384	11756	4253	2977	3015	1562	8053	1855	1402	2421	2259	13305	2739	3167	4509	3026	15576	4588	5021	3452	2515	14846	3665	4754	3842	2180	19844	3590	4495	5604	5927	8358	3233	2020	2050	1054	8240	1148	2810	2340	1879	7634
Doanh thu hoạt động tài chính###Financial activities Revenues	188	216	2356	1839	176	224	117	3198	259	1178	186	1575	1535	185	1157	160	33	1816	401	418	406	591	2668	835	652	666	516	2500	804	543	754	400	2652	897	472	849	434	3027	858	507	935	728	4022	983	1268	925	843	2990	1634	455	522	381	974	417	387	213	87	980	314	394	186	44	374	213	56	47	65	221	36	9	87	69	465
Chi phí tài chính###Financial Expenses	0	0	6	21	-13	11	-13	201	108	-79	92	0	-37	7	-7	-231	194	1021	985	357	198	226	1161	151	465	297	243	-7	2	0	-9	0	-53	-17	0	-36	0	109	24	0	84	0	101	31	0	70	0	62	43	0	22	0	-130	0	0	0	0	306	41	0	363	0	139	150	0	31	0	0	0	0	0	0	0
Chi phí bán hàng###Selling Expenses	880	872	5050	1309	1244	1231	1266	4043	1193	913	1079	859	4565	1370	1300	1114	781	4351	1141	1244	989	976	6940	2482	1268	1594	1595	6372	1706	1566	1962	1139	5023	1609	1070	1470	873	5089	1155	1214	1461	1259	4701	1711	996	1066	929	4044	2002	1743	157	143	832	295	213	160	164	598	218	170	103	107	629	286	124	106	114	412	98	66	102	125	477
Chi phí quản lý doanh nghiệp###Managing Expenses	1457	1497	5499	1745	1286	1364	1055	3902	959	901	994	878	4457	856	954	1177	1070	3630	1188	1075	642	697	3597	1155	811	733	681	5398	1368	2747	777	522	3366	877	458	1630	401	2680	444	637	1055	544	3807	1026	712	543	348	2128	952	378	415	383	1832	739	395	386	322	1591	621	352	380	260	1208	456	276	267	210	1143	345	229	205	291	1008
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	3294	3646	15447	6878	2994	2526	3098	15334	3734	4512	3142	4164	16955	5598	4654	4598	2394	16226	4387	3082	3971	4066	16831	7037	3407	4586	2151	9527	3641	1225	3749	1123	6071	2681	1920	799	722	3202	1090	57	757	1184	8717	954	2727	3755	2592	12331	3225	3355	3380	2370	13286	3048	4533	3510	1781	18329	3025	4367	4943	5605	6755	2554	1676	1695	796	6906	741	2523	2120	1532	6613
Thu nhập khác###Other incomes	0	0	1	13	0	0	1	53	0	0	0	53	1450	0	1450	0	0	35	1	4	1	28	2095	2	378	345	3173	2342	856	1399	373	0	356	356	0	0	0	294	294	0	0	0	1506	1097	152	257	0	20131	309	19821	0	0	358	666	95	0	0	2532	26	2479	25	3	376	320	23	22	11	648	429	100	119	0	269
Chi phí khác###Other Expenses	4	6	358	147	216	8	0	948	345	545	0	59	1637	190	1436	5	8	445	39	237	79	13	334	143	520	184	1417	1597	627	1091	377	0	67	56	0	11	0	0	0	0	0	0	4	4	0	0	0	8015	0	7984	13	19	290	51	78	95	51	1800	3	901	3	4	54	17	19	9	4	270	30	149	90	0	2
Lợi nhuận khác###Other profits	-4	-6	-357	-134	-216	-8	1	-896	-345	-545	0	-6	-186	-190	14	-5	-7	-410	-38	-233	-78	15	1760	-141	-142	161	1756	744	229	308	-4	0	289	300	0	-11	0	294	294	0	0	0	1502	1093	152	257	0	12116	309	11838	-13	-19	68	615	17	-95	-51	733	24	1577	22	-1	322	303	4	13	8	378	399	-49	29	0	267
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3290	3639	15090	6744	2777	2518	3099	14438	3389	3968	3142	4158	16769	5408	4668	4593	2386	15816	4349	2849	3893	4081	18591	6896	3265	4746	3907	10271	3869	1534	3746	1123	6360	2981	1920	788	722	3496	1384	57	757	1184	10220	2047	2880	4012	2592	24446	3535	15193	3368	2351	13354	3663	4550	3415	1730	19062	3048	5945	4966	5603	7077	2857	1680	1707	803	7284	1140	2474	2149	1532	6880
Chi phí thuế TNDN###Corporate Income Tax Expenses	777	775	2918	1027	640	592	669	2525	645	650	640	624	3726	1110	1102	1280	579	3323	1040	704	825	819	4061	1521	697	1032	860	2286	927	337	823	247	1582	773	479	0	0	871	0	0	0	296	2318	-50	720	938	648	6108	879	3798	842	588	2210	611	798	598	303	5138	598	1664	1390	1568	1049	520	235	239	112	1020	158	346	300	214	1927
Chi phí thuế TNDN###Corporate Income Tax Expenses	741	875	3000	1093	627	578	759	2455	658	615	610	606	3489	1153	1000	939	579	3461	1231	621	751	818	3998	1679	629	849	860	2290	1243	257	627	247	1547	734	514	131	180	517	19	-136	189	296	2589	-86	720	1003	648	6065	840	3798	842	588	2312	676	798	598	303	5115	589	1664	1390	1569	1080	490	235	239	112	1020	160	346	301	214	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	36	-100	-82	-66	13	14	-91	70	-14	35	30	19	237	-42	102	342	0	-138	-191	83	74	0	63	-158	68	183	0	-4	-316	81	196	0	35	39	-35	64	0	354	327	0	0	0	-270	36	0	0	0	43	39	0	0	0	-102	-65	0	0	0	24	9	0	0	0	-31	-31	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2512	2867	12183	5722	2138	1927	2435	12034	2905	3268	2502	3476	12299	4330	3279	2960	1652	11954	3309	2145	3067	3262	14530	5375	2568	3714	3048	7986	2943	1196	2922	876	4778	2208	1441	592	541	2625	1037	193	568	888	7901	2097	2160	3009	1944	18339	2656	11395	2526	1763	11144	3052	3752	2818	1427	13924	2451	4280	3575	4034	6028	2398	1445	1468	691	6264	981	2128	1848	1317	4953
---Cac Chi So Tai Chinh---																																																																									
EBITDA	-0.38	-0.36	-0.46	-0.46	-0.55	-0.03	0.47	0.38	0.38	0.24	0.06	-1.29	-1.19	-1.19	-0.97	-1.14	-0.71	0.02	0.02	0.18	-0.07	-0.16	-0.17	-0.17	-0.23	0.26	0.21	-0.03	-0.03	-0.11	0.01	0.06	0.55	0.55	0.22	0.33	0.46	0.46	0.46	0.48	0.45	0.53	0.65	0.65	0.58	0.51	0.50	0.44	0.44	1.02	1.08	0.84	0.78	0.78	0.63	0.55	0.58	0.76	0.76	0.78	0.72	0.68	0.00	0.00	-0.01	0.01	0.04	0.10	0.10	0.09	0.07	0.03	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.60	33.48	33.10	33.10	31.33	31.23	29.87	30.39	30.39	28.65	31.12	29.90	22.77	22.77	23.41	20.78	25.97	29.17	29.17	21.62	29.10	23.82	19.41	19.41	19.06	15.88	16.41	16.68	16.68	20.94	8.96	9.86	6.48	6.48	4.69	4.98	4.67	5.12	5.12	4.91	6.20	6.27	6.15	6.15	6.39	5.38	6.71	6.99	6.99	7.11	6.91	7.42	6.79	6.79	6.71	6.04	4.32	4.40	4.40	6.06	3.80	3.82	6.72	6.72	5.53	6.02	6.02	4.24	4.24	4.52	4.16	3.58	2.66
