CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	 2012	Q4 2012	 2011	Q4 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	377029	452088	470720	456716	488578	456604	400750	599540	598910	593032	617196	763615	802347	800153	778610	785646	1192209	315284	327831	323363	306411	287055	283281	276028	303830	270793	279417	270768	270768	323883	316341	388720	490182	490182	396915	396915	415176	415176	336719	574174
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	43738	102267	75026	82476	129280	108239	67459	83322	83322	74384	80616	64925	146408	145121	124070	106036	497357	45183	45183	80190	64233	169346	168408	170095	223618	207102	224836	158612	158612	251208	163950	241133	249929	249929	266098	266098	241956	241956	76212	283363
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	250484	252718	298686	288296	269860	270942	262405	440600	436428	427031	452779	586276	591444	592553	593654	594955	636059	199375	217275	163803	161687	56700	58388	56700	6200	6200	6200	67100	67100	4300	78000	4050	52550	0	2350	0	10030	0	131803	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	81377	93160	93657	82593	85709	74752	66298	67802	71344	79520	75075	105421	56913	55355	50843	68440	47815	56760	51027	45662	47757	27200	34584	26131	44281	27693	25307	27218	27218	32173	32751	80299	126649	126649	84485	84485	65470	65470	73935	97885
Hàng tồn kho###Inventory	1279	2048	3201	3201	2221	2059	4527	4880	4880	8231	6314	4966	6864	6864	9890	16031	10403	13824	13824	32388	32041	32510	21541	21541	27641	27226	21199	16187	16187	34358	39715	60374	59166	59166	41557	41557	95989	95989	48959	50208
Tài sản ngắn hạn khác###Other Current Assets	151	1895	150	150	1508	612	61	2936	2936	3867	2412	2027	717	259	152	184	575	142	522	1319	693	1299	360	1560	2090	2573	1875	1650	1650	1844	1924	2864	1888	1888	2425	2425	1731	1731	5810	6716
Tài sản dài hạn###Non-current Assets	1050815	736118	676294	690914	665024	646439	690243	676144	680442	644955	592113	558813	561737	560550	534380	518426	506190	850479	850488	839641	845622	849261	851262	847700	880506	884587	834706	833249	833249	830645	823006	830420	821114	821114	835060	835060	849398	849398	833253	768535
Các khoản phải thu dài hạn###Long term Account Receivable	26	26	26	11707	11888	207	207	207	26	26	26	26	26	26	26	26	26	26	26	26	26	26	53	15	42	42	42	0	0	42	42	42	0	0	0	0	2422	2422	1694	2708
Tài sản cố định ###Fixed assets	469562	415657	365234	365234	373048	360274	308098	313644	313644	301631	241752	202381	203737	203737	207558	186148	190038	191680	191690	194445	189297	192236	196110	196110	199933	203842	207093	209779	205671	206829	210668	214538	222357	222357	234109	238145	249695	255311	186961	203748
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-226343	-215981	-207227	-207295	-200116	-191640	-186344	-180672	-180740	-178055	-172915	-168787	-164499	-164567	-163349	-161063	-157221	-156597	-156655	-152807	-149863	-146050	-142175	-142175	-138241	-134261	-130284	-126362	-126362	-122809	-119018	-115372	-111622	-111622	-95870	-95870	-85833	-85833	-94049	-78206
