CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005
Tài sản ngắn hạn###Current Assets	30073376	26461639	24721565	24721565	22146345	22089274	22040433	20559757	20559757	18360116	20818679	19974839	20307435	20307435	18889319	20677934	20171593	18673828	18673828	17322793	19513524	18004265	16731875	16731875	15029826	16603153	16640749	15457990	15522310	12808829	13778292	13566720	13018930	13018930	11634197	12077326	11885820	11110610	11080538	8758053	10140518	10079373	9467683	9467683	8979084	9519929	7327494	5919803	5919803	5242473	6383972	5530124	5069157	5118618	4143510	4047900	3301808	3187605	3396042	3517637	3578980	3321609	3172434	3172434	2746773	2432490	1955977	1996391	1950826	2693287	3001994	2484673	2406477	2900223	2055174
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	2176667	1379712	2665195	2665195	1043474	1676491	1209154	1522610	1522610	630785	1343435	563393	963336	963336	668415	590907	2216761	655423	655423	772572	3059808	1228330	1358683	1358683	1409857	1854222	1227506	1527875	1527875	670330	1219936	1193311	2745645	2745645	1684436	812485	1633382	1252120	1252120	555134	2143732	2983283	3156515	3156515	1986288	192748	223197	263472	263472	289370	462161	220682	426135	426135	217638	875811	1000060	338654	340634	566925	286909	152146	117819	117819	456488	164376	205990	156895	156495	172883	124226	488523	500312	1012304	134720
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	16363061	14370289	12435744	12435744	10238286	9306531	9666847	8673927	8673927	7772300	9210771	9661890	10561714	10561714	9791942	11451963	10320086	10453749	10453749	8935288	8630484	9305385	8668378	8668378	6918872	7856879	8469268	7469007	7467963	6010427	5917347	5776073	4167318	4167318	3869717	4690837	3926642	3909276	3909276	2029335	931731	632276	736033	736033	1215965	3129070	2318113	2092260	2092260	1329651	2535266	2401905	2314253	2314254	1912401	984965	220718	374002	559117	626235	566834	786203	654485	654485	444952	395530	313696	306730	307130	160884	162184	22200	22800	2800	4941
Các khoản phải thu ngắn hạn###Short term Account Receivables	5674691	4711714	4503155	4503155	5699703	5391295	5520732	4639448	4639448	5460673	5149242	5175992	4591703	4591703	4629353	4302765	3607663	2866684	2866684	3624418	3367617	3370787	2685469	2685469	2984334	3033863	2941878	2777099	2771737	2535847	2239066	2589045	2728421	2728421	2571043	2412772	2313883	2246363	2216291	2400761	2430088	2383895	2169205	2169205	2176512	1986036	1503465	1124862	1124862	1385643	969697	896726	728634	778011	734646	657548	690988	646385	646385	596449	779257	715736	654720	654720	673477	608060	474597	511622	513263	1023787	835869	769092	748600	758520	1020215
Hàng tồn kho###Inventory	5696222	5733793	4983044	4983044	4990635	5540930	5353836	5525846	5525846	4320173	4885749	4373068	4021059	4021059	3674549	4181877	3921382	4521766	4521766	3919153	4385255	4029870	3810095	3810095	3658428	3784848	3924905	3554824	3620107	3535731	4259769	3798943	3217483	3217483	3258750	3881704	3763212	3472845	3472845	3539650	4316254	3895595	3272496	3272496	3469379	4078339	3185278	2351354	2351354	2148535	2323499	1738451	1311765	1311886	960643	1239920	1346422	1775342	1796684	1647415	1871943	1638019	1669871	1669871	1114789	1183710	908148	965826	918639	1276774	1807433	1152871	1081501	1092950	859405
Tài sản ngắn hạn khác###Other Current Assets	162736	266131	134427	134427	174247	174026	289864	197926	197926	176185	229482	200497	169623	169623	125061	150422	105702	176205	176205	71362	70361	69892	209251	209251	58335	73342	77192	129184	134627	56495	142173	209348	160063	160063	250250	279528	248701	230006	230006	233174	318713	184324	133434	133434	130940	133736	97441	87854	87854	89274	93350	272360	288370	288334	318181	289656	43621	53222	53222	80613	74038	29504	75539	75539	57067	80814	53547	55318	55299	58958	72282	51987	53264	33650	35893
Tài sản dài hạn###Non-current Assets	19523434	19612088	19978308	19978308	17955508	18097202	16264829	16806352	16806352	15666315	15364851	15353881	14359884	14359884	12706396	11277098	10896951	10704829	10704829	10333928	10284477	11064571	10746301	10746301	10929143	10620509	10362316	10312148	10247829	11098774	9955953	9697631	9856484	9856484	9025318	9037213	8703020	8587258	8587258	8327691	7981749	7278235	6114989	6114989	5356819	5179489	4952998	4853230	4853230	4649814	4292866	3490959	3412879	3412444	3347781	2792088	2803672	2779354	2537373	2415503	2564781	2682975	2252683	2252683	2498576	2703686	2844613	1613012	1612832	1293467	1082240	1521113	1491459	949558	912458
Các khoản phải thu dài hạn###Long term Account Receivable	19451	19717	21170	21170	20264	67352	87555	88443	88443	116066	114095	96477	53775	53775	18621	19781	21071	21855	21855	22148	17691	18574	20898	20898	21993	22809	23927	21966	7395	6442	3699	4144	737	737	0	0	0	0	0	0	0	0	0	0	0	10	18	24	24	29	35	40	8822	8822	2963	58	64	475	474	298	187	67	762	762	632	0	920	860	860	780	4175	4145	4018	4018	0
Tài sản cố định ###Fixed assets	14315882	14589591	14893540	14893540	13406776	13210637	13090571	13365354	13365354	11621556	11094917	10565776	10609309	10609309	8273742	8135160	8261100	8321053	8321053	8135811	8228200	8196789	8214135	8214135	7840655	8011367	8045671	8086396	8086396	8127803	8322358	8379852	8918417	8918417	8359739	8417743	8168339	4477059	8042301	7480167	7115905	6161605	3749675	5044762	4269890	3855811	3544617	2763289	3428572	3131433	3065501	2638632	2524964	2524530	2157236	2078207	1959929	1936923	1942920	1838622	1798351	1729520	1646962	1646962	1457884	1220992	1082482	1071980	1071799	1050135	804801	787117	757373	746696	737987
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-13420591	-12985468	-12483527	-12483527	-11256202	-10818692	-10331851	-9904589	-9904589	-9477456	-9129789	-8830968	-8626919	-8626919	-7047861	-6916154	-6624806	-6341416	-6341416	-6057846	-5808191	-5533436	-5264376	-5264376	-5043045	-4772633	-4497058	-4234460	-4234460	-4025148	-3784824	-3538790	-3298209	-3298209	-2748267	-2544646	-2428883	-2289432	-2289432	-2159548	-2036248	-1921519	-1808198	-1808198	-1728657	-1657504	-1600626	-1523407	-1523407	-1442139	-1415671	-1358036	-1299924	-1299924	-1244818	-1189659	-1138743	-1089451	-1089451	-1042660	-1003751	0	-941189	-941189	-902914	-875694	-851618	0	0	0	-774966	-749666	0	0	0
